Method	Type	Mean	SD	Integration
scanpy-CellRanger	Alignment	-1.75	7.55456342692472	STAligner
scanpy-CellRanger	Clustering	-3.375	8.765802057671944	STAligner
scanpy-CellRanger	Integration	5.125	8.724964183307574	STAligner
scanpy-CellRanger	Overall	-1	6.047431568147635	STAligner
scanpy-CellRanger (batch)	Alignment	4.125	9.538455999643908	Cell
Charter
scanpy-CellRanger (batch)	Clustering	4.5	5.7817446699565895	Cell
Charter
scanpy-CellRanger (batch)	Integration	2.5	8.717797887081348	Cell
Charter
scanpy-CellRanger (batch)	Overall	5.625	4.8678977568791	Cell
Charter
scanpy-CellRanger (batch)	Alignment	3.25	11.335784048754634	GPSA
scanpy-CellRanger (batch)	Clustering	2.5	12.671678206592393	GPSA
scanpy-CellRanger (batch)	Integration	6.75	11.634308868907635	GPSA
scanpy-CellRanger (batch)	Overall	6.125	11.691724790270621	GPSA
scanpy-CellRanger (batch)	Alignment	1.125	5.19443383412888	STAligner
scanpy-CellRanger (batch)	Clustering	-4.25	6.3189058727418494	STAligner
scanpy-CellRanger (batch)	Integration	3.25	7.324128422062051	STAligner
scanpy-CellRanger (batch)	Overall	0.625	3.50255009141299	STAligner
scanpy-Pearson	Alignment	-0.625	11.160357137142674	Cell
Charter
scanpy-Pearson	Clustering	-1.625	10.070288689293584	Cell
Charter
scanpy-Pearson	Integration	2.5	5.5805785670356025	Cell
Charter
scanpy-Pearson	Overall	-3	5.237229365663817	Cell
Charter
scanpy-Pearson	Alignment	-2.875	7.34239159168961	GPSA
scanpy-Pearson	Clustering	-5.125	9.909411111233027	GPSA
scanpy-Pearson	Integration	-2.6875	9.284924416955231	GPSA
scanpy-Pearson	Overall	-9.3125	8.30205439291126	GPSA
scanpy-Pearson	Alignment	-0.75	5.203021100421233	STAligner
scanpy-Pearson	Clustering	-0.25	11.348379368249647	STAligner
scanpy-Pearson	Integration	4	9.441549509633317	STAligner
scanpy-Pearson	Overall	0.25	3.693623849670827	STAligner
scanpy-Pearson (batch)	Alignment	-3.625	9.364637129725239	Cell
Charter
scanpy-Pearson (batch)	Clustering	-4.25	9.996427933445599	Cell
Charter
scanpy-Pearson (batch)	Integration	1.375	11.400971136580553	Cell
Charter
scanpy-Pearson (batch)	Overall	-1	7.764387566686396	Cell
Charter
scanpy-Pearson (batch)	Alignment	0.75	8.76682056718072	GPSA
