Method	IntegrationMethod	Type	Mean	SD	Integration
Seurat-Dispersion	staligner	Alignment	0.7686189115596886	0.1505529749681771	STAligner
Seurat-Dispersion	staligner	Clustering	0.5368312873446266	0.0826448482794293	STAligner
Seurat-Dispersion	staligner	Integration	0.6297980192174395	0.14745656625643241	STAligner
Seurat-Dispersion	staligner	Overall	0.6450827393739182	0.09446837070210962	STAligner
Seurat-MVP	cellcharter	Alignment	0.8069698028443963	0.14632645370652367	Cell
Charter
Seurat-MVP	cellcharter	Clustering	0.7036939275407692	0.05970592726954745	Cell
Charter
Seurat-MVP	cellcharter	Integration	0.7765798752373193	0.04288488530043314	Cell
Charter
Seurat-MVP	cellcharter	Overall	0.7624145352074949	0.07468632139174228	Cell
Charter
Seurat-MVP	gpsa	Alignment	0.5223310254433554	0.09160268009080977	GPSA
Seurat-MVP	gpsa	Clustering	0.006769761236630394	0.004919635427257933	GPSA
Seurat-MVP	gpsa	Integration	0.5461667606837294	0.06236901872533467	GPSA
Seurat-MVP	gpsa	Overall	0.35842251578790507	0.043401969137890045	GPSA
Seurat-MVP	scvi	Alignment	0.8051863880652872	0.15528208407857924	scVI
Seurat-MVP	scvi	Clustering	0.6406532876846714	0.1257639263601249	scVI
Seurat-MVP	scvi	Integration	0.6548045087231942	0.11221145767437615	scVI
Seurat-MVP	scvi	Overall	0.7002147281577176	0.10828480726677923	scVI
Seurat-MVP	staligner	Alignment	0.7467062522603098	0.21286177677484078	STAligner
Seurat-MVP	staligner	Clustering	0.5871921073716188	0.06159587391369013	STAligner
Seurat-MVP	staligner	Integration	0.681566885074694	0.14747077299393652	STAligner
Seurat-MVP	staligner	Overall	0.6718217482355409	0.11314767009527699	STAligner
Seurat-VST	cellcharter	Alignment	0.8165175789637675	0.1773286265399412	Cell
Charter
Seurat-VST	cellcharter	Clustering	0.7258586168201208	0.05573356203067823	Cell
Charter
Seurat-VST	cellcharter	Integration	0.7829535233290899	0.04972224105348611	Cell
Charter
Seurat-VST	cellcharter	Overall	0.7751099063709928	0.08545531331428718	Cell
Charter
Seurat-VST	gpsa	Alignment	0.5646657919298401	0.11167174671498929	GPSA
Seurat-VST	gpsa	Clustering	0.09597207331257522	0.21249250817807008	GPSA
Seurat-VST	gpsa	Integration	0.5758752965144716	0.09992176801682033	GPSA
Seurat-VST	gpsa	Overall	0.4121710539189623	0.12810299024519878	GPSA
Seurat-VST	scvi	Alignment	0.7937143366934744	0.1783101495980253	scVI
Seurat-VST	scvi	Clustering	0.6395652089436638	0.13052339631723475	scVI
Seurat-VST	scvi	Integration	0.6828056238735455	0.08222653992871326	scVI
Seurat-VST	scvi	Overall	0.7053617231702278	0.10771612385919917	scVI
Seurat-VST	staligner	Alignment	0.7733371897039389	0.19772616959598352	STAligner
Seurat-VST	staligner	Clustering	0.5821392666190426	0.07009235820917221	STAligner
Seurat-VST	staligner	Integration	0.681740562600918	0.14226152344741202	STAligner
Seurat-VST	staligner	Overall	0.6790723396412999	0.10051934222915536	STAligner
Seurat-scTransform	cellcharter	Alignment	0.8175579165070457	0.16090620223996732	Cell
Charter
Seurat-scTransform	cellcharter	Clustering	0.5694315976603925	0.25010224790189195	Cell
Charter
Seurat-scTransform	cellcharter	Integration	0.6963460986208178	0.17419744432638434	Cell
Charter
Seurat-scTransform	cellcharter	Overall	0.7637966544331014	0.0876046085578914	Cell
Charter
Seurat-scTransform	gpsa	Alignment	0.5288647279548886	0.10574922768775433	GPSA
Seurat-scTransform	gpsa	Clustering	0.015031811716055776	0.015345323332520311	GPSA
Seurat-scTransform	gpsa	Integration	0.6588684956267119	0.21664244082189404	GPSA
Seurat-scTransform	gpsa	Overall	0.36059918782023986	0.047519765587719684	GPSA
Seurat-scTransform	scvi	Alignment	0.7921270185462933	0.16877673628043188	scVI
Seurat-scTransform	scvi	Clustering	0.5823737112823153	0.1558942560426679	scVI
Seurat-scTransform	scvi	Integration	0.6248106254670749	0.11089249166972674	scVI
Seurat-scTransform	scvi	Overall	0.697616091195431	0.100815445944194	scVI
Seurat-scTransform	staligner	Alignment	0.7647289300826055	0.213993650686383	STAligner
Seurat-scTransform	staligner	Clustering	0.5948390228093258	0.11374541939239217	STAligner
Seurat-scTransform	staligner	Integration	0.7140917754241948	0.15063379479638817	STAligner
Seurat-scTransform	staligner	Overall	0.6623959305439049	0.12606333688682714	STAligner
Statistic mean	cellcharter	Alignment	0.8192384327522245	0.15535318428708345	Cell
Charter
Statistic mean	cellcharter	Clustering	0.7117810433486368	0.06122137796176804	Cell
Charter
Statistic mean	cellcharter	Integration	0.5987948583821496	0.31578791844428533	Cell
Charter
Statistic mean	cellcharter	Overall	0.7717308354757725	0.07071917593230792	Cell
Charter
Statistic mean	gpsa	Alignment	0.5274592955575593	0.10404414495548867	GPSA
Statistic mean	gpsa	Clustering	0.015820901533517825	0.014698612304022791	GPSA
Statistic mean	gpsa	Integration	0.6595817249049268	0.21655340587753996	GPSA
Statistic mean	gpsa	Overall	0.3606282121946436	0.047364401313285405	GPSA
Statistic mean	scvi	Alignment	0.6927649573922084	0.2019199214406387	scVI
Statistic mean	scvi	Clustering	0.531783929793178	0.1345278654474105	scVI
Statistic mean	scvi	Integration	0.5653996821105982	0.15373371013923395	scVI
Statistic mean	scvi	Overall	0.6015187022781039	0.1190348756757559	scVI
Statistic mean	staligner	Alignment	0.7132247873194275	0.26440799661984316	STAligner
Statistic mean	staligner	Clustering	0.5946092711027308	0.06927347516723548	STAligner
Statistic mean	staligner	Integration	0.5550542849994675	0.20707776018661261	STAligner
Statistic mean	staligner	Overall	0.6469134051553569	0.11896420015819391	STAligner
Statistic variance	cellcharter	Alignment	0.8210075163988287	0.14053387879302848	Cell
Charter
Statistic variance	cellcharter	Clustering	0.7095028696944219	0.0632687924557646	Cell
Charter
Statistic variance	cellcharter	Integration	0.6002679737939116	0.3201177929771796	Cell
Charter
Statistic variance	cellcharter	Overall	0.7742980678614677	0.06405438888574576	Cell
Charter
Statistic variance	gpsa	Alignment	0.5304992163257395	0.11062301188294028	GPSA
Statistic variance	gpsa	Clustering	0.01520750455692431	0.015153574401668419	GPSA
Statistic variance	gpsa	Integration	0.659116603256031	0.21653345378175362	GPSA
