dataset	fs_method	n_features	MethodGroup	CanonicalConfig	integration_method	BatchMixingMean	BatchMixingSD	BatchMixingNSeeds	BiologicalConservationMean	BiologicalConservationSD	BiologicalConservationNSeeds	IntegrationMean	IntegrationSD	IntegrationNSeeds	LabelIndependentClusteringMean	LabelIndependentClusteringSD	LabelIndependentClusteringNSeeds	LabelAgreementMean	LabelAgreementSD	LabelAgreementNSeeds	ClusteringMean	ClusteringSD	ClusteringNSeeds	AlignmentMean	AlignmentSD	AlignmentNSeeds	CoreOverallMean	CoreOverallSD	CoreOverallNSeeds	AlignmentEligibleOverallMean	AlignmentEligibleOverallSD	AlignmentEligibleOverallNSeeds	BatchMixingRank	BiologicalConservationRank	IntegrationRank	LabelIndependentClusteringRank	LabelAgreementRank	ClusteringRank	AlignmentRank	CoreOverallRank	AlignmentEligibleOverallRank
DLPFC	morans_i	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/dlpfc.yaml	cellcharter	0.5459196402667331	0.004153315685326059	3	0.9744285784086871	0.004843384601814945	3	0.7601741093377101	0.004405543999576596	3	0.698563637265868	0.01844589835051208	3	0.7285136362404397	0.08652604807738752	3	0.7135386367531537	0.05211184665368525	3	0.9193199181987697	0.0038586638767707736	3	0.736856373045432	0.027811493130369454	3	0.7976775547632111	0.019647323192930315	3	27.0	1.0	8.0	20.0	9.0	10.0	13.0	10.0	10.0
DLPFC	morans_i	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/dlpfc.yaml	scvi	0.698759013827436	0.16038260611812422	3	0.6502586101598645	0.1653863105950298	3	0.6745088119936503	0.1628823486133435	3	0.48581028785245167	0.02397480112790521	3	0.6448747745035474	0.20484201838700664	3	0.5653425311779995	0.11438241139414146	3	0.7576587837341928	0.10382952731459476	3	0.6199256715858249	0.13863093468570728	3	0.6658367089686142	0.1270287443994633	3	29.0	23.0	28.0	17.0	20.0	19.0	20.0	23.0	23.0
DLPFC	nbumi	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	cellcharter	0.5764380952018068	0.004616473023369068	3	0.9654127168890069	0.010950558389860764	3	0.7709254060454068	0.007059352427023509	3	0.7063641968272801	0.00392930941656978	3	0.7932598511724201	0.17632263150251318	3	0.7498120239998501	0.09010851520377666	3	0.9380541998952318	0.011172140074078643	3	0.7603687150226285	0.04799458340856147	3	0.8195972099801629	0.03385881965688889	3	15.0	4.0	2.0	11.0	5.0	4.0	5.0	5.0	4.0
DLPFC	nbumi	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	scvi	0.8518838857950825	0.02076708814844022	3	0.7423024175793085	0.0022159039464821296	3	0.7970931516871955	0.00930782623517932	3	0.5041929104968407	0.02883659722832818	3	0.7081819500403999	0.04186858727319957	3	0.6061874302686202	0.03513610742571836	3	0.8233633062808771	0.0010380044360986376	3	0.7016402909779078	0.02199291209100546	3	0.7422146294122309	0.01491452833737384	3	10.0	8.0	1.0	9.0	9.0	8.0	3.0	3.0	3.0
DLPFC	nnsvg	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/dlpfc.yaml	cellcharter	0.547219783474144	0.0034569008780364675	3	0.9607505270724342	0.006327011731936737	3	0.7539851552732891	0.004557239554525741	3	0.7053232358859338	0.012836798485632524	3	0.6569153092802317	0.05237583744549274	3	0.6811192725830827	0.030437593713778296	3	0.917565164806463	0.006858152206402233	3	0.7175522139281859	0.01612157883550796	3	0.7842231975542783	0.01063819554951753	3	26.0	6.0	13.0	14.0	17.0	18.0	14.0	16.0	16.0
DLPFC	nnsvg	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/dlpfc.yaml	scvi	0.6864561436411921	0.07907887888914568	3	0.6887374557941951	0.06819756550952957	3	0.6875967997176936	0.07332746674498865	3	0.5007532338777834	0.03304943381529615	3	0.6764145090189068	0.14149706401315026	3	0.588583871448345	0.08556481843922516	3	0.7741724318388187	0.05265259017654091	3	0.6380903355830193	0.07944539142914002	3	0.6834510343349525	0.07043226456954098	3	30.0	18.0	27.0	13.0	14.0	14.0	17.0	20.0	19.0
DLPFC	osca	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	cellcharter	0.5622053590716142	0.004125229790461782	3	0.9311562084950619	0.00862294050847173	3	0.7466807837833381	0.005507679888875717	3	0.6981781371165617	0.003768092312470923	3	0.7022189713986094	0.05598337004186277	3	0.7001985542575856	0.02967186394516324	3	0.906084961666548	0.005474564237516188	3	0.7234396690204618	0.013637073726368415	3	0.7843214332358238	0.007269227627760747	3	21.0	17.0	15.0	22.0	11.0	13.0	20.0	13.0	15.0
DLPFC	osca	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	scvi	0.8176657187954599	0.03263647152708836	3	0.7177709373609353	0.012384157332425306	3	0.7677183280781975	0.02222785571839232	3	0.5020304506587058	0.011056559420155525	3	0.6683947872481344	0.04282847509405544	3	0.58521261895342	0.022005320300826924	3	0.7872302684091482	0.006784010761284115	3	0.6764654735158088	0.021963511590341708	3	0.7133870718135887	0.015577649123008101	3	13.0	12.0	12.0	11.0	15.0	16.0	12.0	12.0	13.0
DLPFC	random	500	control	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	cellcharter	0.7676368855298611	0.025488587607655523	3	0.6428139713410568	0.06860751860638943	3	0.705225428435459	0.03765348292694994	3	0.48083443371476586	0.12237169977557999	3	0.5321409401068571	0.13366652679140067	3	0.5064876869108115	0.1213741395624562	3	0.6999539835289977	0.0643910831627718	3	0.6058565576731353	0.07878011756993068	3	0.6372223662917561	0.07350624700932773	3	2.0	34.0	29.0	34.0	32.0	33.0	34.0	33.0	34.0
DLPFC	random	500	control	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	scvi	0.8932021972155005	0.13901639024498433	3	0.4313476382005574	0.08655577905346933	3	0.662274917708029	0.0969380265424163	3	0.15990777486231791	0.09772562248595616	3	0.2320094135460086	0.07238891726609331	3	0.19595859420416326	0.0733154599185352	3	0.5949790185119442	0.05415328218468724	3	0.42911675595609616	0.05426590035418671	3	0.48440417680804543	0.054182319324200666	3	4.0	33.0	30.0	33.0	33.0	33.0	34.0	33.0	33.0
