fs_method	integration_method	MethodGroup	MeanIntegrationScore	SDIntegrationScore	MeanIntegrationRank	SDIntegrationRank	NIntegrationDatasets	MeanClusteringScore	SDClusteringScore	MeanClusteringRank	SDClusteringRank	NClusteringDatasets	MeanAlignmentScore	SDAlignmentScore	MeanAlignmentRank	SDAlignmentRank	NAlignmentDatasets	MeanCoreOverallScore	SDCoreOverallScore	MeanCoreOverallRank	SDCoreOverallRank	NCoreOverallDatasets	MeanAlignmentEligibleOverallScore	SDAlignmentEligibleOverallScore	MeanAlignmentEligibleOverallRank	SDAlignmentEligibleOverallRank	NAlignmentEligibleOverallDatasets	GlobalCoreOverallRank
statistic_variance	cellcharter	expression_driven	0.6212198198060328	0.11189000150989749	13.0	7.371114795831994	7	0.6684898714042784	0.09356911186943519	21.142857142857142	6.12178000880385	7	0.9427327001810848	0.03220115155531282	9.5	2.1213203435596424	2	0.6448548456051555	0.0956313607913109	21.142857142857142	6.20291790016525	7	0.8079583996653509	0.026280328468931052	12.5	2.1213203435596424	2	26.0
sparkx	cellcharter	spatially_informed	0.6123457832949045	0.118431028288883	15.571428571428571	8.48247493084306	7	0.6798998910735046	0.07329505594672155	20.571428571428573	8.599557020706412	7	0.9375019569286933	0.03420605168204693	17.0	0.0	2	0.6461228371842046	0.09050800303377263	21.714285714285715	7.674943772091226	7	0.8059081111822406	0.03429829108565664	10.0	9.899494936611665	2	27.0
statistic_mean	cellcharter	expression_driven	0.6208164952274277	0.10370401821194568	14.571428571428571	8.772250620700536	7	0.6645478233355833	0.09526948807379024	21.571428571428573	5.99603043290984	7	0.9308131325001909	0.030080937707631032	23.5	7.7781745930520225	2	0.6426821592815054	0.0911934467659003	23.285714285714285	4.111540089159037	7	0.797757652989733	0.03332151011613424	22.0	5.656854249492381	2	28.0
scPNMF	cellcharter	expression_driven	0.5989972387867665	0.11226757361565112	20.571428571428573	5.968169536721256	7	0.6851699836925829	0.07750487467834467	18.571428571428573	3.2586880211286906	7	0.9225033167416854	0.05283517292312316	21.5	2.1213203435596424	2	0.6420836112396747	0.08576658430908884	23.857142857142858	2.4784787961282104	7	0.7865978935429421	0.04755784369699747	26.0	2.8284271247461903	2	29.0
triku	scvi	expression_driven	0.6944382142631301	0.08445917455729678	14.142857142857142	9.546876826630642	7	0.6010139287017969	0.15667735386686918	6.714285714285714	4.4986770542121866	7	0.8908714859158289	0.09580959329798808	3.5	0.7071067811865476	2	0.6477260714824634	0.09634762678290913	7.0	4.163331998932265	7	0.7891764412115119	0.07895753953853325	4.0	1.4142135623730951	2	1.0
somde	scvi	spatially_informed	0.6491154570562347	0.11232561266545239	18.428571428571427	10.113640011673061	7	0.5688324870928191	0.10261135950894215	10.142857142857142	9.702724212449674	7	0.815636194255011	0.02920308594890782	7.5	9.192388155425117	2	0.608973972074527	0.08610064720352933	10.285714285714286	7.889112449325035	7	0.6689134605682561	0.09923675097644631	10.0	9.899494936611665	2	2.0
seurat_vst	scvi	expression_driven	0.669054110939722	0.10318039149842746	18.142857142857142	8.008923594519874	7	0.5878773329127313	0.14227378015388167	7.857142857142857	5.698788509515902	7	0.8730405603443283	0.07621386915987323	6.5	0.7071067811865476	2	0.6284657219262266	0.0849413774274503	10.571428571428571	6.654751256486923	7	0.7569237578993802	0.039049770904828626	7.5	0.7071067811865476	2	3.0
osca	scvi	expression_driven	0.6669060387516997	0.1252947146363511	13.285714285714286	5.437961803049794	7	0.5612310913986921	0.1372037802138101	13.0	1.632993161855452	7	0.7237543528408267	0.08976850068076982	16.5	7.7781745930520225	2	0.6140685650751959	0.07688869202105157	10.714285714285714	3.0937725468153876	7	0.6551616829347237	0.08234313462693858	15.5	4.949747468305833	2	4.0
nbumi	scvi	expression_driven	0.6633521736806687	0.10789481713576615	18.0	10.295630140987	7	0.581101383749771	0.13543827564185748	10.0	5.033222956847166	7	0.8584821002226882	0.04966547468669544	5.5	3.5355339059327378	2	0.6222267787152198	0.07988218079662242	11.285714285714286	7.387247699341655	7	0.7427954799272174	0.0008214466760051363	5.0	4.242640687119285	2	5.5
scanpy_seurat_v3	scvi	expression_driven	0.6666287795981675	0.1044238306934738	19.428571428571427	7.870983480631944	7	0.5882894306376366	0.13388700706006018	9.285714285714286	7.973169292786187	7	0.874023205694002	0.07531555376597994	5.5	0.7071067811865476	2	0.627459105117902	0.0792864459443813	11.285714285714286	7.739816658342877	7	0.7545609748962196	0.04296497112087921	7.5	2.1213203435596424	2	5.5
dubstepr	scvi	expression_driven	0.6590142210294669	0.13260623575674504	14.285714285714286	8.159131606453506	7	0.5506052822740365	0.15288197832867714	11.714285714285714	8.035634920242991	7	0.7705986447021913	0.06162881021927188	13.5	6.363961030678928	2	0.6048097516517517	0.08083654222980449	11.571428571428571	8.059303999253345	7	0.6649770078013844	0.09475324564110937	12.5	7.7781745930520225	2	7.5
