dataset	fs_method	n_features	integration_method	task	metric_name	ValueMeanRaw	ValueSDRaw	OrientedMean	OrientedSD	NSeeds	EffectiveFeaturesMin	EffectiveFeaturesMax	RuntimeMean
DLPFC	Brennecke	200	scvi	alignment_eval	Ratio	0.820367369		-0.820367369		1	200	200	37.1672409689
DLPFC	Brennecke	200	scvi	clustering_eval	CHAOS	0.075758836		-0.075758836		1	200	200	37.9803275727
DLPFC	Brennecke	200	scvi	clustering_eval	PAS	0.4985		-0.4985		1	200	200	37.9803275727
DLPFC	Brennecke	200	scvi	clustering_eval	ari	0.1145922606		0.1145922606		1	200	200	37.9803275727
DLPFC	Brennecke	200	scvi	clustering_eval	nmi	0.1738263051		0.1738263051		1	200	200	37.9803275727
DLPFC	Brennecke	200	scvi	clustering_eval	silhouette	0.1277788877		0.1277788877		1	200	200	37.9803275727
DLPFC	Brennecke	200	scvi	integration_eval	GC	0.8219952145		0.8219952145		1	200	200	39.7319932636
DLPFC	Brennecke	200	scvi	integration_eval	ILL	0.3305765696		0.3305765696		1	200	200	39.7319932636
DLPFC	Brennecke	200	scvi	integration_eval	bASW	0.9860388875		0.9860388875		1	200	200	39.7319932636
DLPFC	Brennecke	200	scvi	integration_eval	dASW	0.4938621116		0.4938621116		1	200	200	39.7319932636
DLPFC	Brennecke	200	scvi	integration_eval	dLISI	0.7346421534		0.7346421534		1	200	200	39.7319932636
DLPFC	Brennecke	200	scvi	integration_eval	iLISI	0.6623904392		0.6623904392		1	200	200	39.7319932636
DLPFC	Brennecke	2000	cellcharter	alignment_eval	Accuracy	0.6541333333333333	0.007801495583113102	0.6541333333333333	0.007801495583113102	3	2000	2000	46.635684101533336
DLPFC	Brennecke	2000	cellcharter	alignment_eval	Ratio	1.2343672692	0.009079900822676151	-1.2343672692	0.009079900822676151	3	2000	2000	46.635684101533336
DLPFC	Brennecke	2000	cellcharter	clustering_eval	CHAOS	0.058957076266666665	0.00022189064303350622	-0.058957076266666665	0.00022189064303350622	3	2000	2000	46.97374426296667
DLPFC	Brennecke	2000	cellcharter	clustering_eval	PAS	0.051444444433333326	0.008586299342665141	-0.051444444433333326	0.008586299342665141	3	2000	2000	46.97374426296667
