dataset	platform	n_slices	fs_method	n_features	integration_method	task	metric_name	metric_value	random_seed	runtime	memory_usage	effective_n_features	notes	DirectionMultiplier	OrientedValue	Lower	Upper	Range	RangeStatus	FrozenScaleDenominator	ScaledValue
DLPFC	Visium	4	Brennecke	200	cellcharter	clustering_eval	silhouette	0.0721952021	0	56.8694719262	28892.62109375	200	cache_signature=ce8fab3608efc0e28c9b1adb99f83b72	1	0.0721952021	0.029338402066666668	0.8794011474	0.8500627453333333	ok	0.8500627453333333	0.05041604313164904
DLPFC	Visium	4	Brennecke	200	cellcharter	clustering_eval	ari	0.1586858554	0	56.8694719262	28892.62109375	200	cache_signature=ce8fab3608efc0e28c9b1adb99f83b72	1	0.1586858554	0.0102727844	0.3847598367	0.3744870523	ok	0.3744870523	0.3963102865332361
DLPFC	Visium	4	Brennecke	200	cellcharter	clustering_eval	nmi	0.2696496248	0	56.8694719262	28892.62109375	200	cache_signature=ce8fab3608efc0e28c9b1adb99f83b72	1	0.2696496248	0.0183960378	0.5333746913	0.5149786535	ok	0.5149786535	0.4878912655745642
DLPFC	Visium	4	Brennecke	200	cellcharter	clustering_eval	CHAOS	0.0602395867	0	56.8694719262	28892.62109375	200	cache_signature=ce8fab3608efc0e28c9b1adb99f83b72	-1	-0.0602395867	-0.0892011679	-0.0581763831	0.031024784800000003	ok	0.031024784800000003	0.9334982139827768
DLPFC	Visium	4	Brennecke	200	cellcharter	clustering_eval	PAS	0.09575	0	56.8694719262	28892.62109375	200	cache_signature=ce8fab3608efc0e28c9b1adb99f83b72	-1	-0.09575	-0.8281666667	-0.026944444433333336	0.8012222222666667	ok	0.8012222222666667	0.9141242546019068
DLPFC	Visium	4	Brennecke	200	cellcharter	integration_eval	bASW	0.9855575352	0	59.4338934319	28892.62109375	200	cache_signature=0279e905630f004c464c58ce0dbee5fb	1	0.9855575352	0.2491534837	0.996775472	0.7476219883	ok	0.7476219883	0.9849951754020662
DLPFC	Visium	4	Brennecke	200	cellcharter	integration_eval	iLISI	0.2611096954	0	59.4338934319	28892.62109375	200	cache_signature=0279e905630f004c464c58ce0dbee5fb	1	0.2611096954	0.0012992992	0.7221799351000001	0.7208806359000001	ok	0.7208806359000001	0.36040695679893486
DLPFC	Visium	4	Brennecke	200	cellcharter	integration_eval	dASW	0.5048784073	0	59.4338934319	28892.62109375	200	cache_signature=0279e905630f004c464c58ce0dbee5fb	1	0.5048784073	0.4023712054	0.535358496	0.13298729059999997	ok	0.13298729059999997	0.7708044989676632
DLPFC	Visium	4	Brennecke	200	cellcharter	integration_eval	dLISI	0.8598458494	0	59.4338934319	28892.62109375	200	cache_signature=0279e905630f004c464c58ce0dbee5fb	1	0.8598458494	0.4844990385	0.9507964562	0.4662974177	ok	0.4662974177	0.8049515108863105
DLPFC	Visium	4	Brennecke	200	cellcharter	integration_eval	ILL	0.4859353572	0	59.4338934319	28892.62109375	200	cache_signature=0279e905630f004c464c58ce0dbee5fb	1	0.4859353572	0.2138871761	0.7071418377	0.4932546616000001	ok	0.4932546616000001	0.5515369691946564
