dataset	fs_method	n_features	MethodGroup	CanonicalConfig
E8p5Embryo	scanpy_pearson	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e8p5_embryo.yaml
E8p5Embryo	scanpy_pearson_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e8p5_embryo.yaml
E8p5Embryo	scanpy_seurat	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e8p5_embryo.yaml
E8p5Embryo	scanpy_seurat_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e8p5_embryo.yaml
E8p5Embryo	scanpy_seurat_v3	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e8p5_embryo.yaml
E8p5Embryo	scanpy_seurat_v3_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e8p5_embryo.yaml
E8p5Embryo	scry	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e8p5_embryo.yaml
E8p5Embryo	scsegindex	500	control	configs/rebuild_v1/non_spatial_downstream/canonical/e8p5_embryo.yaml
E8p5Embryo	seurat_disp	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e8p5_embryo.yaml
E8p5Embryo	seurat_mvp	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e8p5_embryo.yaml
E8p5Embryo	seurat_sct	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e8p5_embryo.yaml
E8p5Embryo	seurat_vst	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e8p5_embryo.yaml
E8p5Embryo	singleCellHaystack	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e8p5_embryo.yaml
E8p5Embryo	somde	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/e8p5_embryo.yaml
E8p5Embryo	sparkx	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/e8p5_embryo.yaml
E8p5Embryo	spatialde	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/e8p5_embryo.yaml
E8p5Embryo	statistic_mean	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e8p5_embryo.yaml
E8p5Embryo	statistic_variance	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e8p5_embryo.yaml
E8p5Embryo	triku	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e8p5_embryo.yaml
E9p5Embryo	Brennecke	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e9p5_embryo.yaml
E9p5Embryo	TFs	2000	control	configs/rebuild_v1/non_spatial_downstream/canonical/e9p5_embryo.yaml
E9p5Embryo	all_features	all	control	configs/rebuild_v1/non_spatial_downstream/canonical/e9p5_embryo.yaml
E9p5Embryo	anticor	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e9p5_embryo.yaml
E9p5Embryo	dubstepr	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e9p5_embryo.yaml
E9p5Embryo	hotspot	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e9p5_embryo.yaml
E9p5Embryo	morans_i	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/e9p5_embryo.yaml
E9p5Embryo	nbumi	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e9p5_embryo.yaml
E9p5Embryo	nnsvg	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/e9p5_embryo.yaml
E9p5Embryo	osca	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e9p5_embryo.yaml
E9p5Embryo	random	500	control	configs/rebuild_v1/non_spatial_downstream/canonical/e9p5_embryo.yaml
E9p5Embryo	scPNMF	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e9p5_embryo.yaml
E9p5Embryo	scanpy_cell_ranger	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e9p5_embryo.yaml
E9p5Embryo	scanpy_cell_ranger_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e9p5_embryo.yaml
E9p5Embryo	scanpy_pearson	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e9p5_embryo.yaml
E9p5Embryo	scanpy_pearson_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e9p5_embryo.yaml
E9p5Embryo	scanpy_seurat	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e9p5_embryo.yaml
E9p5Embryo	scanpy_seurat_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e9p5_embryo.yaml
E9p5Embryo	scanpy_seurat_v3	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e9p5_embryo.yaml
E9p5Embryo	scanpy_seurat_v3_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e9p5_embryo.yaml
E9p5Embryo	scry	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e9p5_embryo.yaml
E9p5Embryo	scsegindex	500	control	configs/rebuild_v1/non_spatial_downstream/canonical/e9p5_embryo.yaml
E9p5Embryo	seurat_disp	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e9p5_embryo.yaml
E9p5Embryo	seurat_mvp	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e9p5_embryo.yaml
