Method	Dataset	Label	Lineage	Value
Seurat-scTransform (N=2000)	Immune	T Cell	Immune	0.1
Seurat-scTransform (N=2000)	Epithelial	Keratinocyte	Epithelial	0.07
Seurat-scTransform (N=2000)	Epithelial	Merkel Cell	Epithelial	0.77
Seurat-scTransform (N=2000)	Epithelial	Stem Cell	Epithelial	0.16
Seurat-scTransform (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.87
Seurat-VST (N=2000)	Full	Langerhans Cell	Immune	0.42
Seurat-VST (N=2000)	Full	T Cell	Immune	0.19
Seurat-VST (N=2000)	Full	Keratinocyte	Epithelial	0.47
Seurat-VST (N=2000)	Full	Merkel Cell	Epithelial	0.56
Seurat-VST (N=2000)	Full	Stem Cell	Epithelial	0.42
Seurat-VST (N=2000)	Full	Progenitor Cell	Epithelial	0.48
Seurat-VST (N=2000)	Immune	Langerhans Cell	Immune	0.2
Seurat-VST (N=2000)	Immune	T Cell	Immune	0.43
Seurat-VST (N=2000)	Epithelial	Keratinocyte	Epithelial	0.3
Seurat-VST (N=2000)	Epithelial	Merkel Cell	Epithelial	0.57
Seurat-VST (N=2000)	Epithelial	Stem Cell	Epithelial	0.34
Seurat-VST (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.64
singleCellHaystack (N=2000)	Full	Langerhans Cell	Immune	0.12
singleCellHaystack (N=2000)	Full	T Cell	Immune	0.62
singleCellHaystack (N=2000)	Full	Keratinocyte	Epithelial	0.95
singleCellHaystack (N=2000)	Full	Merkel Cell	Epithelial	0.57
singleCellHaystack (N=2000)	Full	Stem Cell	Epithelial	0.9
singleCellHaystack (N=2000)	Full	Progenitor Cell	Epithelial	0.09
singleCellHaystack (N=2000)	Immune	Langerhans Cell	Immune	0.15
singleCellHaystack (N=2000)	Immune	T Cell	Immune	0.05
singleCellHaystack (N=2000)	Epithelial	Keratinocyte	Epithelial	0.94
singleCellHaystack (N=2000)	Epithelial	Merkel Cell	Epithelial	0.64
singleCellHaystack (N=2000)	Epithelial	Stem Cell	Epithelial	0.93
singleCellHaystack (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.18
