Dataset	Platform	NSlices	Method	MethodBase	SelFeatures	Integration	IntegrationLabel	Task	TaskLabel	Type	Metric	MetricName	Value	ValueRaw	HigherBetter	Seed	Runtime	EffectiveFeatures	Notes
DLPFC	Visium	4	Brennecke-N200	Brennecke	200	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	PAS	PAS	-0.0586189464	0.0586189464	False	0	218.1789595224	200	cache_signature=d8a07ae30c19db8262b302faa39141d4
DLPFC	Visium	4	Brennecke-N200	Brennecke	200	cellcharter	CellCharter	integration_eval	Integration	Integration	bASW	bASW	0.9794298453	0.9794298453	True	0	221.4365648646	200	cache_signature=8e922250e85bd6364d3c96b744a1335b
DLPFC	Visium	4	Brennecke-N200	Brennecke	200	cellcharter	CellCharter	integration_eval	Integration	Integration	iLISI	iLISI	0.2226833004	0.2226833004	True	0	221.4365648646	200	cache_signature=8e922250e85bd6364d3c96b744a1335b
DLPFC	Visium	4	Brennecke-N200	Brennecke	200	cellcharter	CellCharter	integration_eval	Integration	Integration	dASW	dASW	0.5058194296	0.5058194296	True	0	221.4365648646	200	cache_signature=8e922250e85bd6364d3c96b744a1335b
DLPFC	Visium	4	Brennecke-N200	Brennecke	200	cellcharter	CellCharter	integration_eval	Integration	Integration	dLISI	dLISI	0.8669936905	0.8669936905	True	0	221.4365648646	200	cache_signature=8e922250e85bd6364d3c96b744a1335b
DLPFC	Visium	4	Brennecke-N200	Brennecke	200	cellcharter	CellCharter	integration_eval	Integration	Integration	ILL	ILL	0.5028554367	0.5028554367	True	0	221.4365648646	200	cache_signature=8e922250e85bd6364d3c96b744a1335b
DLPFC	Visium	4	Brennecke-N200	Brennecke	200	cellcharter	CellCharter	integration_eval	Integration	Integration	GC	GC	0.9762795274	0.9762795274	True	0	221.4365648646	200	cache_signature=8e922250e85bd6364d3c96b744a1335b
DLPFC	Visium	4	Brennecke-N2000	Brennecke	2000	cellcharter	CellCharter	alignment_eval	Alignment	Alignment	Accuracy	Accuracy	0.629809469	0.629809469	True	0	273.1421004757	2000	cache_signature=601d71d667eeb75ac0467ca391dab314
DLPFC	Visium	4	Brennecke-N2000	Brennecke	2000	cellcharter	CellCharter	alignment_eval	Alignment	Alignment	Ratio	Ratio	-1.3873151685	1.3873151685	False	0	273.1421004757	2000	cache_signature=601d71d667eeb75ac0467ca391dab314
DLPFC	Visium	4	Brennecke-N2000	Brennecke	2000	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	silhouette	Silhouette	0.0795827061	0.0795827061	True	0	276.1109894607	2000	cache_signature=2a93f42b6cb03568c7fdbb1ecbd02b99
DLPFC	Visium	4	Brennecke-N2000	Brennecke	2000	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	ari	ARI	0.2735220228	0.2735220228	True	0	276.1109894607	2000	cache_signature=2a93f42b6cb03568c7fdbb1ecbd02b99
DLPFC	Visium	4	Brennecke-N2000	Brennecke	2000	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	nmi	NMI	0.3768866511	0.3768866511	True	0	276.1109894607	2000	cache_signature=2a93f42b6cb03568c7fdbb1ecbd02b99
DLPFC	Visium	4	Brennecke-N2000	Brennecke	2000	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	CHAOS	CHAOS	-0.0585576074	0.0585576074	False	0	276.1109894607	2000	cache_signature=2a93f42b6cb03568c7fdbb1ecbd02b99
DLPFC	Visium	4	Brennecke-N2000	Brennecke	2000	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	PAS	PAS	-0.0551491286	0.0551491286	False	0	276.1109894607	2000	cache_signature=2a93f42b6cb03568c7fdbb1ecbd02b99
DLPFC	Visium	4	Brennecke-N2000	Brennecke	2000	cellcharter	CellCharter	integration_eval	Integration	Integration	bASW	bASW	0.9829194606	0.9829194606	True	0	287.6493274178	2000	cache_signature=7198d9c3652a77e0f28e2f7805ef5037
DLPFC	Visium	4	Brennecke-N2000	Brennecke	2000	cellcharter	CellCharter	integration_eval	Integration	Integration	iLISI	iLISI	0.2822174002	0.2822174002	True	0	287.6493274178	2000	cache_signature=7198d9c3652a77e0f28e2f7805ef5037
DLPFC	Visium	4	Brennecke-N2000	Brennecke	2000	cellcharter	CellCharter	integration_eval	Integration	Integration	dASW	dASW	0.5091942772	0.5091942772	True	0	287.6493274178	2000	cache_signature=7198d9c3652a77e0f28e2f7805ef5037
DLPFC	Visium	4	Brennecke-N2000	Brennecke	2000	cellcharter	CellCharter	integration_eval	Integration	Integration	dLISI	dLISI	0.9027385777	0.9027385777	True	0	287.6493274178	2000	cache_signature=7198d9c3652a77e0f28e2f7805ef5037
DLPFC	Visium	4	Brennecke-N2000	Brennecke	2000	cellcharter	CellCharter	integration_eval	Integration	Integration	ILL	ILL	0.5786869083	0.5786869083	True	0	287.6493274178	2000	cache_signature=7198d9c3652a77e0f28e2f7805ef5037
DLPFC	Visium	4	Brennecke-N2000	Brennecke	2000	cellcharter	CellCharter	integration_eval	Integration	Integration	GC	GC	0.9777794664	0.9777794664	True	0	287.6493274178	2000	cache_signature=7198d9c3652a77e0f28e2f7805ef5037
DLPFC	Visium	4	Brennecke-N500	Brennecke	500	cellcharter	CellCharter	alignment_eval	Alignment	Alignment	Accuracy	Accuracy	0.6000087117	0.6000087117	True	0	248.3083007298	500	cache_signature=e4574b8c91d8996fa37559830a9d75e5
DLPFC	Visium	4	Brennecke-N500	Brennecke	500	cellcharter	CellCharter	alignment_eval	Alignment	Alignment	Ratio	Ratio	-1.2467866954	1.2467866954	False	0	248.3083007298	500	cache_signature=e4574b8c91d8996fa37559830a9d75e5
