dataset	fs_method	n_features	integration_method	BatchMixingMean	BatchMixingSD	BatchMixingNSeeds	BiologicalConservationMean	BiologicalConservationSD	BiologicalConservationNSeeds	IntegrationMean	IntegrationSD	IntegrationNSeeds	LabelIndependentClusteringMean	LabelIndependentClusteringSD	LabelIndependentClusteringNSeeds	LabelAgreementMean	LabelAgreementSD	LabelAgreementNSeeds	ClusteringMean	ClusteringSD	ClusteringNSeeds	AlignmentMean	AlignmentSD	AlignmentNSeeds	CoreOverallMean	CoreOverallSD	CoreOverallNSeeds	AlignmentEligibleOverallMean	AlignmentEligibleOverallSD	AlignmentEligibleOverallNSeeds	MethodGroup
E8p5Embryo	somde	2000	graphst	0.47924564869853487	0.002039806740230839	3			0	0.47924564869853487	0.002039806740230839	3	0.7336035264075966	0.006932328959719845	3			0	0.7336035264075966	0.006932328959719845	3			0	0.6064245875530658	0.0034263164801860346	3			0	spatially_informed
E8p5Embryo	sparkx	2000	graphst	0.45937148411158274	0.004130095866845532	3			0	0.45937148411158274	0.004130095866845532	3	0.6908064194597437	0.009585851152052809	3			0	0.6908064194597437	0.009585851152052809	3			0	0.5750889517856632	0.006693592257018457	3			0	spatially_informed
E8p5Embryo	spatialde	2000	graphst	0.46752646329369973	0.004829298578475058	3			0	0.46752646329369973	0.004829298578475058	3	0.7282156960335174	0.0158710521307551	3			0	0.7282156960335174	0.0158710521307551	3			0	0.5978710796636085	0.0071549618457503236	3			0	spatially_informed
E8p5Embryo	statistic_mean	2000	graphst	0.48326746040110397	0.0023297074507858304	3			0	0.48326746040110397	0.0023297074507858304	3	0.6062450471385699	0.014591008724374438	3			0	0.6062450471385699	0.014591008724374438	3			0	0.5447562537698368	0.0082006299120889	3			0	expression_driven
E8p5Embryo	statistic_variance	2000	graphst	0.4709638870588013	0.004311899399806836	3			0	0.4709638870588013	0.004311899399806836	3	0.6358749643529165	0.015148757112807672	3			0	0.6358749643529165	0.015148757112807672	3			0	0.5534194257058589	0.005437478682718841	3			0	expression_driven
E8p5Embryo	triku	2000	graphst	0.49562260178397644	0.0051429197073781805	3			0	0.49562260178397644	0.0051429197073781805	3	0.7316979678204808	0.0020564414701900475	3			0	0.7316979678204808	0.0020564414701900475	3			0	0.6136602848022287	0.0027077748466683956	3			0	expression_driven
E9p5Embryo	Brennecke	2000	graphst	0.5060594761257245	0.00499424845540581	3			0	0.5060594761257245	0.00499424845540581	3	0.6306043484713835	0.007315333254228375	3			0	0.6306043484713835	0.007315333254228375	3			0	0.5683319122985541	0.003930293293516671	3			0	expression_driven
E9p5Embryo	anticor	2000	graphst	0.4386440594167877	0.015260821051446716	3			0	0.4386440594167877	0.015260821051446716	3	0.6857490448008731	0.007870299601155914	3			0	0.6857490448008731	0.007870299601155914	3			0	0.5621965521088303	0.006019121232168293	3			0	expression_driven
E9p5Embryo	dubstepr	2000	graphst	0.3403082299408582	0.00356289426205551	3			0	0.3403082299408582	0.00356289426205551	3	0.6808003745825365	0.02990358946313429	3			0	0.6808003745825365	0.02990358946313429	3			0	0.5105543022616974	0.015006850391264478	3			0	expression_driven
E9p5Embryo	hotspot	2000	graphst	0.4499655348110166	0.010163631190362694	3			0	0.4499655348110166	0.010163631190362694	3	0.7429562621312688	0.021251772655299435	3			0	0.7429562621312688	0.021251772655299435	3			0	0.5964608984711427	0.015540243444380417	3			0	expression_driven
E9p5Embryo	morans_i	2000	graphst	0.38301325981807594	0.012367823506578399	3			0	0.38301325981807594	0.012367823506578399	3	0.7243298090868784	0.016251989175413494	3			0	0.7243298090868784	0.016251989175413494	3			0	0.5536715344524772	0.013462474473611796	3			0	spatially_informed
E9p5Embryo	nbumi	2000	graphst	0.45316679096949813	0.014249781342160792	3			0	0.45316679096949813	0.014249781342160792	3	0.7503302810055739	0.004494645516619391	3			0	0.7503302810055739	0.004494645516619391	3			0	0.601748535987536	0.006467992998261358	3			0	expression_driven
E9p5Embryo	nnsvg	2000	graphst	0.30620414895131987	0.00872361291399403	3			0	0.30620414895131987	0.00872361291399403	3	0.682288702850658	0.008877369974533873	3			0	0.682288702850658	0.008877369974533873	3			0	0.49424642590098894	0.00878201832867272	3			0	spatially_informed
E9p5Embryo	osca	2000	graphst	0.4018663108573133	0.006552376685467153	3			0	0.4018663108573133	0.006552376685467153	3	0.7078466944026002	0.0124428634743263	3			0	0.7078466944026002	0.0124428634743263	3			0	0.5548565026299567	0.007316798651668464	3			0	expression_driven
E9p5Embryo	scPNMF	2000	graphst	0.3207987431427366	0.013695029220044907	3			0	0.3207987431427366	0.013695029220044907	3	0.6755628263191845	0.011703197171943241	3			0	0.6755628263191845	0.011703197171943241	3			0	0.49818078473096056	0.012697658038093503	3			0	expression_driven
E9p5Embryo	scanpy_cell_ranger	2000	graphst	0.5123783433215535	0.002683219806371975	3			0	0.5123783433215535	0.002683219806371975	3	0.7537666246978	0.003232127773822969	3			0	0.7537666246978	0.003232127773822969	3			0	0.6330724840096768	0.0008275126511508186	3			0	expression_driven
E9p5Embryo	scanpy_cell_ranger_batch	2000	graphst	0.5086554325607348	0.006553092816973175	3			0	0.5086554325607348	0.006553092816973175	3	0.7570913306569494	0.010109684740666406	3			0	0.7570913306569494	0.010109684740666406	3			0	0.6328733816088422	0.002485714618756514	3			0	expression_driven
