dataset	platform	n_slices	fs_method	n_features	integration_method	task	metric_name	metric_value	random_seed	runtime	memory_usage	effective_n_features	notes	DirectionMultiplier	OrientedValue	Lower	Upper	Range	RangeStatus	FrozenScaleDenominator	ScaledValue
E8p5Embryo	Slide-seq	6	scanpy_seurat_v3	2000	graphst	integration_eval	bASW	0.9980737959	1	25.0742802164	11338.85546875	2000	cache_signature=53130f8fc7ff62b98d70beff2d62ca03	1	0.9980737959	0.8819584101	0.9997620521	0.117803642	ok	0.117803642	0.9856688963826774
E8p5Embryo	Slide-seq	6	scanpy_seurat_v3	2000	graphst	integration_eval	iLISI	0.1496763057	1	25.0742802164	11338.85546875	2000	cache_signature=53130f8fc7ff62b98d70beff2d62ca03	1	0.1496763057	0.1295350299	0.6596340276	0.5300989977	ok	0.5300989977	0.03799531009752751
E8p5Embryo	Slide-seq	6	scanpy_seurat_v3	2000	graphst	integration_eval	dASW		1	25.0742802164	11338.85546875	2000	cache_signature=53130f8fc7ff62b98d70beff2d62ca03	1					unavailable		
E8p5Embryo	Slide-seq	6	scanpy_seurat_v3	2000	graphst	integration_eval	dLISI		1	25.0742802164	11338.85546875	2000	cache_signature=53130f8fc7ff62b98d70beff2d62ca03	1					unavailable		
E8p5Embryo	Slide-seq	6	scanpy_seurat_v3	2000	graphst	integration_eval	ILL		1	25.0742802164	11338.85546875	2000	cache_signature=53130f8fc7ff62b98d70beff2d62ca03	1					unavailable		
E8p5Embryo	Slide-seq	6	scanpy_seurat_v3	2000	graphst	integration_eval	GC		1	25.0742802164	11338.85546875	2000	cache_signature=53130f8fc7ff62b98d70beff2d62ca03	1					unavailable		
E8p5Embryo	Slide-seq	6	scanpy_seurat_v3	2000	graphst	clustering_eval	silhouette	0.1577395201	1	24.8075892637	11338.85546875	2000	cache_signature=3484f9a06b0dd1446034f6443f18f2a8	1	0.1577395201	-0.1284756213	0.6791920066	0.8076676279	ok	0.8076676279	0.3543724318184971
E8p5Embryo	Slide-seq	6	scanpy_seurat_v3	2000	graphst	clustering_eval	CHAOS	0.0560931111	1	24.8075892637	11338.85546875	2000	cache_signature=3484f9a06b0dd1446034f6443f18f2a8	-1	-0.0560931111	-0.1368430974	-0.0532607287	0.0835823686999999	ok	0.0835823686999999	0.9661126808912762
E8p5Embryo	Slide-seq	6	scanpy_seurat_v3	2000	graphst	clustering_eval	PAS	0.1925	1	24.8075892637	11338.85546875	2000	cache_signature=3484f9a06b0dd1446034f6443f18f2a8	-1	-0.1925	-0.981	-0.0909166667	0.8900833333	ok	0.8900833333	0.8858721093862324
E8p5Embryo	Slide-seq	6	hotspot	2000	graphst	integration_eval	bASW	0.9893036494	0	25.0277337022	7358.3046875	2000	cache_signature=11630b2f28fcf4f078dc190812647267	1	0.9893036494	0.8819584101	0.9997620521	0.117803642	ok	0.117803642	0.9112217371004545
