graphst_meta	primary_integrator	primary_meta	graphst_feature_hash	primary_feature_hash	status
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/anticor/n2000/seed1/embedding.meta.json	scvi	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/scvi/anticor/n2000/seed1/embedding.meta.json	7380a48095063035392a6e0abbaf4e4b	7380a48095063035392a6e0abbaf4e4b	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/anticor/n2000/seed1/embedding.meta.json	cellcharter	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/cellcharter/anticor/n2000/seed1/embedding.meta.json	7380a48095063035392a6e0abbaf4e4b	7380a48095063035392a6e0abbaf4e4b	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/triku/n2000/seed0/embedding.meta.json	scvi	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/scvi/triku/n2000/seed0/embedding.meta.json	0ff5ea64abe3228bf7854e4e301728b9	0ff5ea64abe3228bf7854e4e301728b9	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/triku/n2000/seed0/embedding.meta.json	cellcharter	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/cellcharter/triku/n2000/seed0/embedding.meta.json	0ff5ea64abe3228bf7854e4e301728b9	0ff5ea64abe3228bf7854e4e301728b9	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/triku/n2000/seed2/embedding.meta.json	scvi	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/scvi/triku/n2000/seed2/embedding.meta.json	ee7c41b500739da71b9161ca3e1178b5	ee7c41b500739da71b9161ca3e1178b5	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/triku/n2000/seed2/embedding.meta.json	cellcharter	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/cellcharter/triku/n2000/seed2/embedding.meta.json	ee7c41b500739da71b9161ca3e1178b5	ee7c41b500739da71b9161ca3e1178b5	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/triku/n2000/seed1/embedding.meta.json	scvi	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/scvi/triku/n2000/seed1/embedding.meta.json	9fc4d1f5ebd357a15e54a9d2a91ed73e	9fc4d1f5ebd357a15e54a9d2a91ed73e	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/triku/n2000/seed1/embedding.meta.json	cellcharter	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/cellcharter/triku/n2000/seed1/embedding.meta.json	9fc4d1f5ebd357a15e54a9d2a91ed73e	9fc4d1f5ebd357a15e54a9d2a91ed73e	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/scanpy_pearson/n2000/seed0/embedding.meta.json	scvi	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/scvi/scanpy_pearson/n2000/seed0/embedding.meta.json	b13c37983f415479986b478fc3dc1d72	b13c37983f415479986b478fc3dc1d72	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/scanpy_pearson/n2000/seed0/embedding.meta.json	cellcharter	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/cellcharter/scanpy_pearson/n2000/seed0/embedding.meta.json	b13c37983f415479986b478fc3dc1d72	b13c37983f415479986b478fc3dc1d72	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/scanpy_pearson/n2000/seed2/embedding.meta.json	scvi	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/scvi/scanpy_pearson/n2000/seed2/embedding.meta.json	b13c37983f415479986b478fc3dc1d72	b13c37983f415479986b478fc3dc1d72	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/scanpy_pearson/n2000/seed2/embedding.meta.json	cellcharter	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/cellcharter/scanpy_pearson/n2000/seed2/embedding.meta.json	b13c37983f415479986b478fc3dc1d72	b13c37983f415479986b478fc3dc1d72	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/scanpy_pearson/n2000/seed1/embedding.meta.json	scvi	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/scvi/scanpy_pearson/n2000/seed1/embedding.meta.json	b13c37983f415479986b478fc3dc1d72	b13c37983f415479986b478fc3dc1d72	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/scanpy_pearson/n2000/seed1/embedding.meta.json	cellcharter	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/cellcharter/scanpy_pearson/n2000/seed1/embedding.meta.json	b13c37983f415479986b478fc3dc1d72	b13c37983f415479986b478fc3dc1d72	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/seurat_sct/n2000/seed0/embedding.meta.json	scvi	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/scvi/seurat_sct/n2000/seed0/embedding.meta.json	cea0e1e476062b9f0ce128914588acb2	cea0e1e476062b9f0ce128914588acb2	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/seurat_sct/n2000/seed0/embedding.meta.json	cellcharter	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/cellcharter/seurat_sct/n2000/seed0/embedding.meta.json	cea0e1e476062b9f0ce128914588acb2	cea0e1e476062b9f0ce128914588acb2	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/seurat_sct/n2000/seed2/embedding.meta.json	scvi	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/scvi/seurat_sct/n2000/seed2/embedding.meta.json	794e76fd9843065aa89b662274ba4c32	794e76fd9843065aa89b662274ba4c32	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/seurat_sct/n2000/seed2/embedding.meta.json	cellcharter	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/cellcharter/seurat_sct/n2000/seed2/embedding.meta.json	794e76fd9843065aa89b662274ba4c32	794e76fd9843065aa89b662274ba4c32	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/seurat_sct/n2000/seed1/embedding.meta.json	scvi	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/scvi/seurat_sct/n2000/seed1/embedding.meta.json	2bab4948ee9407042abbe4c08242174d	2bab4948ee9407042abbe4c08242174d	PASS
