dataset	platform	n_slices	fs_method	n_features	integration_method	task	metric_name	metric_value	random_seed	runtime	memory_usage	effective_n_features	notes	DirectionMultiplier	OrientedValue
DLPFC	Visium	4	scanpy_cell_ranger	2000	graphst	alignment_eval	Ratio	1.5526707932	1	21.7141384343	14315.7421875	2000	cache_signature=d8f60d568708eb55dfe6acc6296aa571	-1	-1.5526707932
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	integration_eval	bASW	0.9190291881	0	27.9467859771	13339.8515625	2000	cache_signature=ca2d92203951c64b22d395bb364527b3	1	0.9190291881
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	integration_eval	iLISI	0.1968359024	0	27.9467859771	13339.8515625	2000	cache_signature=ca2d92203951c64b22d395bb364527b3	1	0.1968359024
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	integration_eval	dASW	0.5112362094	0	27.9467859771	13339.8515625	2000	cache_signature=ca2d92203951c64b22d395bb364527b3	1	0.5112362094
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	integration_eval	dLISI	0.8880588683	0	27.9467859771	13339.8515625	2000	cache_signature=ca2d92203951c64b22d395bb364527b3	1	0.8880588683
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	integration_eval	ILL	0.5620571907	0	27.9467859771	13339.8515625	2000	cache_signature=ca2d92203951c64b22d395bb364527b3	1	0.5620571907
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	integration_eval	GC	0.9227014188	0	27.9467859771	13339.8515625	2000	cache_signature=ca2d92203951c64b22d395bb364527b3	1	0.9227014188
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	clustering_eval	silhouette	0.206128791	0	25.5807253839	13339.8515625	2000	cache_signature=88b23dc548158b4c4653ccf2c66da553	1	0.206128791
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	clustering_eval	ari	0.2114323212	0	25.5807253839	13339.8515625	2000	cache_signature=88b23dc548158b4c4653ccf2c66da553	1	0.2114323212
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	clustering_eval	nmi	0.2992433914	0	25.5807253839	13339.8515625	2000	cache_signature=88b23dc548158b4c4653ccf2c66da553	1	0.2992433914
