dataset	platform	n_slices	fs_method	n_features	integration_method	task	metric_name	metric_value	random_seed	runtime	memory_usage	effective_n_features	notes	Metric	DirectionMultiplier	OrientedValue	Lower	Upper	Range	RangeStatus	FrozenScaleDenominator	ScaledValue
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	integration_eval	ILL	0.685343373	0	115.5762950722	3825.609375	2000	cache_signature=d55ae2000101c53d1ba7727dc08ba3f0	ILL	1	0.685343373	0.2138871761	0.7071418377	0.4932546616000001	ok	0.4932546616000001	0.9558068754397758
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	integration_eval	GC	0.9780912488	0	115.5762950722	3825.609375	2000	cache_signature=d55ae2000101c53d1ba7727dc08ba3f0	GC	1	0.9780912488	0.2342750748	0.993962209	0.7596871342	ok	0.7596871342	0.9791085573448428
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	alignment_eval	Accuracy	0.7697	1	102.3792098528	4476.4375	2000	cache_signature=a9d963923c4ea3bff04420197b15affc	Accuracy	1	0.7697	0.1911	0.7779333333333334	0.5868333333333333	ok	0.5868333333333333	0.985969894916217
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	alignment_eval	Ratio	1.3423365153	1	102.3792098528	4476.4375	2000	cache_signature=a9d963923c4ea3bff04420197b15affc	Ratio	-1	-1.3423365153	-6.5600224227	-0.7340294017333333	5.825993020966667	ok	5.825993020966667	0.8955873940498241
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	clustering_eval	silhouette	0.1731454581	1	102.9485753356	4476.4375	2000	cache_signature=70a76a37f16a1421def5e2e238933015	silhouette	1	0.1731454581	0.0293384020666666	0.8794011474	0.8500627453333333	ok	0.8500627453333333	0.16917228383763913
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	clustering_eval	ari	0.2500926252	1	102.9485753356	4476.4375	2000	cache_signature=70a76a37f16a1421def5e2e238933015	ari	1	0.2500926252	0.0102727844	0.3847598367	0.3744870523	ok	0.3744870523	0.640395547261488
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	clustering_eval	nmi	0.3739421735	1	102.9485753356	4476.4375	2000	cache_signature=70a76a37f16a1421def5e2e238933015	nmi	1	0.3739421735	0.0183960378	0.5333746913	0.5149786535	ok	0.5149786535	0.690409463156515
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	clustering_eval	CHAOS	0.0592312087	1	102.9485753356	4476.4375	2000	cache_signature=70a76a37f16a1421def5e2e238933015	CHAOS	-1	-0.0592312087	-0.0892011679	-0.0581763831	0.0310247848	ok	0.0310247848	0.9660005506307331
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	clustering_eval	PAS	0.0703333333	1	102.9485753356	4476.4375	2000	cache_signature=70a76a37f16a1421def5e2e238933015	PAS	-1	-0.0703333333	-0.8281666667	-0.0269444444333333	0.8012222222666667	ok	0.8012222222666667	0.9458466232452727
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	integration_eval	bASW	0.9296027042	1	106.2254057089	4476.4375	2000	cache_signature=8d73e3e5c653426fafbc4d113dbc7210	bASW	1	0.9296027042	0.2491534837	0.996775472	0.7476219883	ok	0.7476219883	0.9101514283271114
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	integration_eval	iLISI	0.1324483736	1	106.2254057089	4476.4375	2000	cache_signature=8d73e3e5c653426fafbc4d113dbc7210	iLISI	1	0.1324483736	0.0012992992	0.7221799351000001	0.7208806359000001	ok	0.7208806359000001	0.18192897390878576
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	integration_eval	dASW	0.5324292108	1	106.2254057089	4476.4375	2000	cache_signature=8d73e3e5c653426fafbc4d113dbc7210	dASW	1	0.5324292108	0.4023712054	0.535358496	0.1329872905999999	ok	0.1329872905999999	0.9779731943798258
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	integration_eval	dLISI	0.9475205324	1	106.2254057089	4476.4375	2000	cache_signature=8d73e3e5c653426fafbc4d113dbc7210	dLISI	1	0.9475205324	0.4844990385	0.9507964562	0.4662974177	ok	0.4662974177	0.9929746044570472
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	integration_eval	ILL	0.690615901	1	106.2254057089	4476.4375	2000	cache_signature=8d73e3e5c653426fafbc4d113dbc7210	ILL	1	0.690615901	0.2138871761	0.7071418377	0.4932546616000001	ok	0.4932546616000001	0.9664961368101543
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	integration_eval	GC	0.9722282987	1	106.2254057089	4476.4375	2000	cache_signature=8d73e3e5c653426fafbc4d113dbc7210	GC	1	0.9722282987	0.2342750748	0.993962209	0.7596871342	ok	0.7596871342	0.9713909722547991
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	alignment_eval	Accuracy	0.7532	2	99.2683181884	4863.83984375	2000	cache_signature=70688645f7efa19241a2bc57babaa6eb	Accuracy	1	0.7532	0.1911	0.7779333333333334	0.5868333333333333	ok	0.5868333333333333	0.9578528827037774
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	alignment_eval	Ratio	1.3751538847	2	99.2683181884	4863.83984375	2000	cache_signature=70688645f7efa19241a2bc57babaa6eb	Ratio	-1	-1.3751538847	-6.5600224227	-0.7340294017333333	5.825993020966667	ok	5.825993020966667	0.889954471167511
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	clustering_eval	silhouette	0.1727779359	2	99.7817331515	4863.83984375	2000	cache_signature=61f367bb592f41b3dff64e519ecdf671	silhouette	1	0.1727779359	0.0293384020666666	0.8794011474	0.8500627453333333	ok	0.8500627453333333	0.16873993669383403
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	clustering_eval	ari	0.3141645583	2	99.7817331515	4863.83984375	2000	cache_signature=61f367bb592f41b3dff64e519ecdf671	ari	1	0.3141645583	0.0102727844	0.3847598367	0.3744870523	ok	0.3744870523	0.8114880662324035
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	clustering_eval	nmi	0.4539459511	2	99.7817331515	4863.83984375	2000	cache_signature=61f367bb592f41b3dff64e519ecdf671	nmi	1	0.4539459511	0.0183960378	0.5333746913	0.5149786535	ok	0.5149786535	0.845763043457878
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	clustering_eval	CHAOS	0.0596725593	2	99.7817331515	4863.83984375	2000	cache_signature=61f367bb592f41b3dff64e519ecdf671	CHAOS	-1	-0.0596725593	-0.0892011679	-0.0581763831	0.0310247848	ok	0.0310247848	0.9517748081205065
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	clustering_eval	PAS	0.0555833333	2	99.7817331515	4863.83984375	2000	cache_signature=61f367bb592f41b3dff64e519ecdf671	PAS	-1	-0.0555833333	-0.8281666667	-0.0269444444333333	0.8012222222666667	ok	0.8012222222666667	0.9642559978108858
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	integration_eval	bASW	0.925243682	2	102.7157870475	4863.83984375	2000	cache_signature=e48a0c9c24acd834d48e572fcd1dc1d0	bASW	1	0.925243682	0.2491534837	0.996775472	0.7476219883	ok	0.7476219883	0.9043209120124268
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	integration_eval	iLISI	0.1415549423	2	102.7157870475	4863.83984375	2000	cache_signature=e48a0c9c24acd834d48e572fcd1dc1d0	iLISI	1	0.1415549423	0.0012992992	0.7221799351000001	0.7208806359000001	ok	0.7208806359000001	0.19456153503817536
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	integration_eval	dASW	0.5338760577	2	102.7157870475	4863.83984375	2000	cache_signature=e48a0c9c24acd834d48e572fcd1dc1d0	dASW	1	0.5338760577	0.4023712054	0.535358496	0.1329872905999999	ok	0.1329872905999999	0.9888527821469891
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	integration_eval	dLISI	0.946864289	2	102.7157870475	4863.83984375	2000	cache_signature=e48a0c9c24acd834d48e572fcd1dc1d0	dLISI	1	0.946864289	0.4844990385	0.9507964562	0.4662974177	ok	0.4662974177	0.9915672550377925
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	integration_eval	ILL	0.6935677099	2	102.7157870475	4863.83984375	2000	cache_signature=e48a0c9c24acd834d48e572fcd1dc1d0	ILL	1	0.6935677099	0.2138871761	0.7071418377	0.4932546616000001	ok	0.4932546616000001	0.9724804875518687
DLPFC	Visium	4	hybrid_hvg_svg_union	2000	cellcharter	integration_eval	GC	0.975200334	2	102.7157870475	4863.83984375	2000	cache_signature=e48a0c9c24acd834d48e572fcd1dc1d0	GC	1	0.975200334	0.2342750748	0.993962209	0.7596871342	ok	0.7596871342	0.9753031555289435
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	scvi	alignment_eval	Accuracy	0.5739	0	38.8904983783	4476.4375	354	cache_signature=cbbcbacddfaf4e43f5903956f52a58a3	Accuracy	1	0.5739	0.1911	0.7779333333333334	0.5868333333333333	ok	0.5868333333333333	0.6523146833285998
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	scvi	alignment_eval	Ratio	0.8971383345	0	38.8904983783	4476.4375	354	cache_signature=cbbcbacddfaf4e43f5903956f52a58a3	Ratio	-1	-0.8971383345	-6.5600224227	-0.7340294017333333	5.825993020966667	ok	5.825993020966667	0.9720032392452809
