dataset	fs_method	n_features	integration_method	Dataset	Integrator	Task	SeedSD	NSeeds
STOmics0218	hotspot	2000	scvi	STOmics-0218	scVI	Integration	0.009949669058485702	3
STOmics0218	morans_i	2000	cellcharter	STOmics-0218	CellCharter	Clustering	0.0157816813883193	3
STOmics0218	morans_i	2000	cellcharter	STOmics-0218	CellCharter	Core overall	0.00989588963939184	3
STOmics0218	morans_i	2000	cellcharter	STOmics-0218	CellCharter	Integration	0.005606623834915549	3
STOmics0218	morans_i	2000	scvi	STOmics-0218	scVI	Clustering	0.014327669575341007	3
STOmics0218	morans_i	2000	scvi	STOmics-0218	scVI	Core overall	0.007514133291299018	3
STOmics0218	morans_i	2000	scvi	STOmics-0218	scVI	Integration	0.013818623956785625	3
STOmics0218	nbumi	2000	cellcharter	STOmics-0218	CellCharter	Clustering	0.015434259754424542	3
STOmics0218	nbumi	2000	cellcharter	STOmics-0218	CellCharter	Core overall	0.00782313465060351	3
STOmics0218	nbumi	2000	cellcharter	STOmics-0218	CellCharter	Integration	0.002953580057976589	3
STOmics0218	nbumi	2000	scvi	STOmics-0218	scVI	Clustering	0.024301731359602174	3
STOmics0218	nbumi	2000	scvi	STOmics-0218	scVI	Core overall	0.016215332774898283	3
STOmics0218	nbumi	2000	scvi	STOmics-0218	scVI	Integration	0.01325638291316451	3
STOmics0218	nnsvg	2000	cellcharter	STOmics-0218	CellCharter	Clustering	0.0213765964957954	3
STOmics0218	nnsvg	2000	cellcharter	STOmics-0218	CellCharter	Core overall	0.009797610201411755	3
STOmics0218	nnsvg	2000	cellcharter	STOmics-0218	CellCharter	Integration	0.003943212258858483	3
STOmics0218	nnsvg	2000	scvi	STOmics-0218	scVI	Clustering	0.007791545308435182	3
STOmics0218	nnsvg	2000	scvi	STOmics-0218	scVI	Core overall	0.0036800664621439217	3
STOmics0218	nnsvg	2000	scvi	STOmics-0218	scVI	Integration	0.01444015135746002	3
STOmics0218	osca	2000	cellcharter	STOmics-0218	CellCharter	Clustering	0.008769652721577793	3
STOmics0218	osca	2000	cellcharter	STOmics-0218	CellCharter	Core overall	0.008850697770020607	3
STOmics0218	osca	2000	cellcharter	STOmics-0218	CellCharter	Integration	0.009641909744568687	3
STOmics0218	osca	2000	scvi	STOmics-0218	scVI	Clustering	0.014789460778949307	3
STOmics0218	osca	2000	scvi	STOmics-0218	scVI	Core overall	0.004849971694551826	3
STOmics0218	osca	2000	scvi	STOmics-0218	scVI	Integration	0.005327315715667506	3
STOmics0218	random	500	cellcharter	STOmics-0218	CellCharter	Clustering	0.10530362536448208	3
STOmics0218	random	500	cellcharter	STOmics-0218	CellCharter	Core overall	0.05501035648105795	3
STOmics0218	random	500	cellcharter	STOmics-0218	CellCharter	Integration	0.004774601209522822	3
STOmics0218	random	500	scvi	STOmics-0218	scVI	Clustering	0.03668094584840373	3
STOmics0218	random	500	scvi	STOmics-0218	scVI	Core overall	0.02508831637016508	3
STOmics0218	random	500	scvi	STOmics-0218	scVI	Integration	0.022521236524521024	3
STOmics0218	scPNMF	2000	cellcharter	STOmics-0218	CellCharter	Clustering	0.011868763442378688	3
STOmics0218	scPNMF	2000	cellcharter	STOmics-0218	CellCharter	Core overall	0.004408033820611536	3
STOmics0218	scPNMF	2000	cellcharter	STOmics-0218	CellCharter	Integration	0.009341494065440957	3
STOmics0218	scPNMF	2000	scvi	STOmics-0218	scVI	Clustering	0.0043720339992434154	3
STOmics0218	scPNMF	2000	scvi	STOmics-0218	scVI	Core overall	0.00808142591051054	3
STOmics0218	scPNMF	2000	scvi	STOmics-0218	scVI	Integration	0.016162141020983383	3
STOmics0218	scanpy_cell_ranger	2000	cellcharter	STOmics-0218	CellCharter	Clustering	0.0285737945943112	3
STOmics0218	scanpy_cell_ranger	2000	cellcharter	STOmics-0218	CellCharter	Core overall	0.015285179023076044	3
STOmics0218	scanpy_cell_ranger	2000	cellcharter	STOmics-0218	CellCharter	Integration	0.0024711377786312324	3
STOmics0218	scanpy_cell_ranger	2000	scvi	STOmics-0218	scVI	Clustering	0.04588520075403209	3
STOmics0218	scanpy_cell_ranger	2000	scvi	STOmics-0218	scVI	Core overall	0.027956817023129254	3
STOmics0218	scanpy_cell_ranger	2000	scvi	STOmics-0218	scVI	Integration	0.010298677057676623	3
STOmics0218	scanpy_cell_ranger_batch	2000	cellcharter	STOmics-0218	CellCharter	Clustering	0.0036176350472761827	3
STOmics0218	scanpy_cell_ranger_batch	2000	cellcharter	STOmics-0218	CellCharter	Core overall	0.004159494821922324	3
STOmics0218	scanpy_cell_ranger_batch	2000	cellcharter	STOmics-0218	CellCharter	Integration	0.01163737588333214	3
STOmics0218	scanpy_cell_ranger_batch	2000	scvi	STOmics-0218	scVI	Clustering	0.006001116757431637	3
STOmics0218	scanpy_cell_ranger_batch	2000	scvi	STOmics-0218	scVI	Core overall	0.005559012493228038	3
STOmics0218	scanpy_cell_ranger_batch	2000	scvi	STOmics-0218	scVI	Integration	0.007530855432292944	3
STOmics0218	scanpy_pearson	2000	cellcharter	STOmics-0218	CellCharter	Clustering	0.005469856671841608	3
STOmics0218	scanpy_pearson	2000	cellcharter	STOmics-0218	CellCharter	Core overall	0.007589338655302161	3
STOmics0218	scanpy_pearson	2000	cellcharter	STOmics-0218	CellCharter	Integration	0.011149378689013277	3
STOmics0218	scanpy_pearson	2000	scvi	STOmics-0218	scVI	Clustering	0.015153038328299067	3
STOmics0218	scanpy_pearson	2000	scvi	STOmics-0218	scVI	Core overall	0.003066598854695559	3
STOmics0218	scanpy_pearson	2000	scvi	STOmics-0218	scVI	Integration	0.009597927090829742	3
STOmics0218	scanpy_pearson_batch	2000	cellcharter	STOmics-0218	CellCharter	Clustering	0.022349978182481623	3
STOmics0218	scanpy_pearson_batch	2000	cellcharter	STOmics-0218	CellCharter	Core overall	0.011935009155549143	3
STOmics0218	scanpy_pearson_batch	2000	cellcharter	STOmics-0218	CellCharter	Integration	0.0019251988938962436	3
STOmics0218	scanpy_pearson_batch	2000	scvi	STOmics-0218	scVI	Clustering	0.01542044937501457	3
STOmics0218	scanpy_pearson_batch	2000	scvi	STOmics-0218	scVI	Core overall	0.003588921841420508	3
STOmics0218	scanpy_pearson_batch	2000	scvi	STOmics-0218	scVI	Integration	0.008796304512035434	3
STOmics0218	scanpy_seurat	2000	cellcharter	STOmics-0218	CellCharter	Clustering	0.02044549531122607	3
STOmics0218	scanpy_seurat	2000	cellcharter	STOmics-0218	CellCharter	Core overall	0.012543006280743224	3
STOmics0218	scanpy_seurat	2000	cellcharter	STOmics-0218	CellCharter	Integration	0.005505509023446	3
STOmics0218	scanpy_seurat	2000	scvi	STOmics-0218	scVI	Clustering	0.017866487539000497	3
STOmics0218	scanpy_seurat	2000	scvi	STOmics-0218	scVI	Core overall	0.014336263517393349	3
STOmics0218	scanpy_seurat	2000	scvi	STOmics-0218	scVI	Integration	0.012208173986180794	3
STOmics0218	scanpy_seurat_batch	2000	cellcharter	STOmics-0218	CellCharter	Clustering	0.016219645712100123	3
STOmics0218	scanpy_seurat_batch	2000	cellcharter	STOmics-0218	CellCharter	Core overall	0.0064881173273242535	3
STOmics0218	scanpy_seurat_batch	2000	cellcharter	STOmics-0218	CellCharter	Integration	0.004145007010531971	3
