fs_method	integration_method	task	NRuns	RuntimeMedianSeconds	RuntimeIQRSeconds	RuntimeMaximumSeconds	PeakMemoryMedianGiB	PeakMemoryMaximumGiB
osca	cellcharter	clustering_eval	63	68.7656397885	33.34981116650001	220.6067670882	13.616741180419922	40.870662689208984
osca	cellcharter	integration_eval	63	69.0442015603	34.31742553085	223.8353353068	13.616741180419922	40.870662689208984
osca	scvi	alignment_eval	18	46.44797415375	27.576799334700002	194.9870497258	14.709182739257812	20.607837677001953
osca	scvi	clustering_eval	63	49.5582268797	32.624959540599995	196.9678633083	13.616741180419922	40.27519607543945
osca	scvi	integration_eval	63	50.1180648487	33.34755602569999	198.4827490114	13.616741180419922	40.27519607543945
random	cellcharter	alignment_eval	6	25.83546090965	12.338089552425	32.4686918631	10.952974319458008	18.190723419189453
random	cellcharter	clustering_eval	21	34.860715514	14.4035708225	42.5900959307	9.440155029296875	30.044193267822266
random	cellcharter	integration_eval	21	36.7443762422	15.733623657399999	43.9987432295	9.440155029296875	30.044193267822266
random	scvi	alignment_eval	6	10.3026092914	9.739809724225001	15.60348156	10.952974319458008	18.190723419189453
random	scvi	clustering_eval	21	17.4000929734	12.708109266100001	23.6041022912	9.440155029296875	30.044193267822266
random	scvi	integration_eval	21	18.1980864722	13.277907393	23.8739922866	9.440155029296875	30.044193267822266
scPNMF	cellcharter	alignment_eval	18	2590.21663852825	516.1665514419501	3194.6793563887	18.97283935546875	28.215450286865234
scPNMF	cellcharter	clustering_eval	63	2794.7170045581	3710.53227871375	8980.0703848749	15.971973419189453	55.83438491821289
scPNMF	cellcharter	integration_eval	63	2795.3459456339	3712.7982074087504	8982.3554149903	15.971973419189453	55.83438491821289
scPNMF	scvi	alignment_eval	18	2573.76765882455	509.6555269579003	3165.5539049739	18.97283935546875	28.215450286865234
scPNMF	scvi	clustering_eval	63	2780.71290961	3714.2026817300502	8960.8457658309	15.971973419189453	55.32988357543945
scPNMF	scvi	integration_eval	63	2781.2706553191	3715.6832787212506	8962.366558414	15.971973419189453	55.32988357543945
scanpy_cell_ranger	cellcharter	alignment_eval	18	32.0977533711	20.99579931285	158.1134157516	9.569143295288086	18.190723419189453
scanpy_cell_ranger	cellcharter	clustering_eval	63	40.4750116961	13.996396985399997	160.2673795437	8.967575073242188	30.044193267822266
scanpy_cell_ranger	cellcharter	integration_eval	63	42.0720066139	14.921595770899998	160.8617298221	8.967575073242188	30.044193267822266
scanpy_cell_ranger	scvi	alignment_eval	18	14.2073560506	19.2148903573	112.5842297776	9.569143295288086	18.190723419189453
scanpy_cell_ranger	scvi	clustering_eval	63	21.7529346505	13.3706263029	137.1624240279	8.967575073242188	30.044193267822266
scanpy_cell_ranger	scvi	integration_eval	63	23.1868061544	13.042904387699998	137.3637025263	8.967575073242188	30.044193267822266
scanpy_cell_ranger_batch	cellcharter	alignment_eval	18	32.82193015235	21.7115507247	155.8990397844	10.951196670532227	18.190723419189453
scanpy_cell_ranger_batch	cellcharter	clustering_eval	63	41.3084748015	16.446802182600003	163.6896348177	9.290813446044922	37.58883285522461
scanpy_cell_ranger_batch	cellcharter	integration_eval	63	43.1077301214	16.18972743815	164.1203491352	9.290813446044922	37.58883285522461
scanpy_cell_ranger_batch	scvi	alignment_eval	18	15.8713183715	19.784569551	138.7405790016	10.951196670532227	18.190723419189453
scanpy_cell_ranger_batch	scvi	clustering_eval	63	23.0252379347	13.06441712985	142.3634147467	9.290813446044922	37.58883285522461
scanpy_cell_ranger_batch	scvi	integration_eval	63	23.9103667233	13.116752489499998	142.5845488682	9.290813446044922	37.58883285522461
scanpy_pearson	cellcharter	alignment_eval	18	34.38474827585	22.904140433500004	168.7646817714	11.495689392089844	18.190723419189453
scanpy_pearson	cellcharter	clustering_eval	63	41.6234940263	16.468378704049996	196.5685841963	10.126487731933594	39.47893142700195
scanpy_pearson	cellcharter	integration_eval	63	42.9208327793	17.560368543500005	196.9834702993	10.126487731933594	39.47893142700195
scanpy_pearson	scvi	alignment_eval	18	17.699302384200003	21.495107551125002	148.7876809482	11.495689392089844	18.190723419189453
scanpy_pearson	scvi	clustering_eval	63	22.6025324957	15.217405423950002	171.9362223474	10.126487731933594	39.47893142700195
scanpy_pearson	scvi	integration_eval	63	23.5642529763	16.513848070500003	172.1296668369	10.126487731933594	39.47893142700195
scanpy_pearson_batch	cellcharter	alignment_eval	18	33.7459524409	16.63558254085	130.3181907739	11.584074020385742	18.190723419189453
scanpy_pearson_batch	cellcharter	clustering_eval	63	39.9132739343	12.605466680600003	162.3360297261	10.713623046875	39.47893142700195
scanpy_pearson_batch	cellcharter	integration_eval	63	41.469114895	11.969313033350005	162.7475143317	10.713623046875	39.47893142700195
scanpy_pearson_batch	scvi	alignment_eval	18	15.9646052746	15.356823694875	109.8592441445	11.584074020385742	18.190723419189453
scanpy_pearson_batch	scvi	clustering_eval	63	22.3475707332	12.8619785472	138.4796142578	10.713623046875	39.47893142700195
scanpy_pearson_batch	scvi	integration_eval	63	23.5143002626	12.509132823000002	138.6038043341	10.713623046875	39.47893142700195
scanpy_seurat	cellcharter	alignment_eval	18	32.2647889708	19.438707713450004	144.8514737552	3.8931713104248047	18.190723419189453
scanpy_seurat	cellcharter	clustering_eval	63	38.556547787	13.855946645149999	173.6519243121	4.225975036621094	30.044193267822266
scanpy_seurat	cellcharter	integration_eval	63	41.0729616992	13.868860134850003	174.1489033801	4.225975036621094	30.044193267822266
scanpy_seurat	scvi	alignment_eval	18	14.3762603933	17.224686163975	124.9241579939	3.8931713104248047	18.190723419189453
scanpy_seurat	scvi	clustering_eval	63	20.7936281059	12.578215883099997	155.6448233509	4.225975036621094	30.044193267822266
scanpy_seurat	scvi	integration_eval	63	22.2808726579	13.119792182000001	155.8220723448	4.225975036621094	30.044193267822266
scanpy_seurat_batch	cellcharter	alignment_eval	18	36.4145744839	24.047546634175003	142.7428529486	5.356227874755859	18.190723419189453
scanpy_seurat_batch	cellcharter	clustering_eval	63	41.5936602307	13.879512975949993	168.9963689381	5.6064453125	30.044193267822266
scanpy_seurat_batch	cellcharter	integration_eval	63	42.9511949802	15.277423744999993	169.2392751575	5.6064453125	30.044193267822266
scanpy_seurat_batch	scvi	alignment_eval	18	17.6965030306	22.032142591175	123.7682819124	5.356227874755859	18.190723419189453
scanpy_seurat_batch	scvi	clustering_eval	63	22.5474104369	12.934553734049999	148.4264087221	5.487270355224609	30.044193267822266
scanpy_seurat_batch	scvi	integration_eval	63	23.0344587732	12.851635117049998	148.6101702582	5.487270355224609	30.044193267822266
scanpy_seurat_v3	cellcharter	alignment_eval	18	32.04557039215	34.088017950025	162.3669082448	7.154644012451172	18.190723419189453
scanpy_seurat_v3	cellcharter	clustering_eval	63	40.3773506237	16.402867796399995	162.8547002394	7.154644012451172	30.044193267822266
scanpy_seurat_v3	cellcharter	integration_eval	63	42.3321863404	17.290426233799998	165.5546289803	7.154644012451172	30.044193267822266
scanpy_seurat_v3	scvi	alignment_eval	18	15.8940399182	32.047374905575	141.8327213861	7.154644012451172	18.190723419189453
scanpy_seurat_v3	scvi	clustering_eval	63	21.8738883473	14.299542787450001	142.6616398394	7.154644012451172	30.044193267822266
