Method	Type	SelFeatures	Value	SD	StandardValue
OSCA	Overall	200	0.6610070634470028	1.0218316689224871	0.3840911135285808
OSCA	Overall	500	0.6585042557012	0.43429893247710444	0.533553484537831
OSCA	Overall	1000	0.6490224988003057	0.5485111712499459	0.1668102663387738
OSCA	Overall	2000	0.6373400557782325	0.6254354899272001	0.08164133176688583
OSCA	Overall	5000	0.6238731255798082	0.9028192766665608	-0.18775659610737672
OSCA	Overall	10000	0.5954271423845935	1.1289772031246703	-0.7581352139768575
SOMDE	Integration	100	0.6588598543182985	1.290045733659403	0.4365731685878381
SOMDE	Integration	200	0.6485121569097534	0.7827601914296115	0.1932060198946416
SOMDE	Integration	500	0.6431703766272037	0.8073587619399318	-0.056607937306349214
SOMDE	Integration	1000	0.6432933008109755	0.6932432077212293	0.14311456695395838
SOMDE	Integration	2000	0.6250765652980407	0.6747659082940333	0.0690471385616812
SOMDE	Integration	5000	0.596225402191091	0.9125952935829476	-0.2511155482836409
SOMDE	Integration	10000	0.5643634013360402	1.0548472297600129	-0.5342174084081288
SOMDE	Clustering	100	0.6342746127314167	1.2402705992341283	-0.4056218072586447
SOMDE	Clustering	200	0.6540133920345955	0.9304320018336972	-0.06403611865320295
SOMDE	Clustering	500	0.6650501401630547	0.6572886673353985	0.4069268454409028
SOMDE	Clustering	1000	0.6801951128826484	0.3909602456583336	0.7467303903203464
SOMDE	Clustering	2000	0.647197082736394	0.6678858098269386	0.16511342525650508
SOMDE	Clustering	5000	0.6273289422592377	0.8476995578933889	-0.15305187017080163
SOMDE	Clustering	10000	0.6071332869868604	0.878200188403436	-0.6960608649351016
SOMDE	Alignment	100	0.9028027621923482	0.45503879395611113	0.14360584908735113
SOMDE	Alignment	200	0.9002110471547805	0.5975265832184427	-0.007913508124694421
SOMDE	Alignment	500	0.9115231838790196	0.5681483154059896	0.43684189887317837
SOMDE	Alignment	1000	0.9173208648238191	0.1625206946129666	0.786820803400016
SOMDE	Alignment	2000	0.8757670111069006	0.7664354682973672	0.7471621958424852
SOMDE	Alignment	5000	0.711130557643031	0.7253544278928101	-0.47338050334697207
SOMDE	Alignment	10000	0.6767821127944152	0.5161023610822658	-1.6331367357313749
SOMDE	Overall	100	0.6465672335248577	1.0815095191686843	-0.0658097268961572
SOMDE	Overall	200	0.6512627744721745	0.8272873319250741	-0.019874086420065426
SOMDE	Overall	500	0.6541102583951293	0.8224886389868796	0.3495828846953155
SOMDE	Overall	1000	0.661744206846812	0.41053821426015324	0.6487760577794515
