Method	IntegrationMethod	Type	Mean	SD	Integration
Seurat-VST (N=2,000)	scvi	Alignment	0.8730405603443283	0.07621386915987323	scVI
Seurat-VST (N=2,000)	scvi	Clustering	0.5878773329127313	0.14227378015388167	scVI
Seurat-VST (N=2,000)	scvi	Integration	0.6690679282077007	0.10318199212767268	scVI
Seurat-VST (N=2,000)	scvi	CoreOverall	0.628472630560216	0.08493360027977917	scVI
Seurat-scTransform (N=2,000)	cellcharter	Alignment	0.9400416684650728	0.03711994199873856	CellCharter
Seurat-scTransform (N=2,000)	cellcharter	Clustering	0.5934706524521379	0.2410130565521484	CellCharter
Seurat-scTransform (N=2,000)	cellcharter	Integration	0.650626944269542	0.10671684639677627	CellCharter
Seurat-scTransform (N=2,000)	cellcharter	CoreOverall	0.62204879836084	0.12983201628638164	CellCharter
Seurat-scTransform (N=2,000)	graphst	Alignment	0.8570736742753018	0.09960055373767232	GraphST
Seurat-scTransform (N=2,000)	graphst	Clustering	0.6370671436259707	0.1781960185726837	GraphST
Seurat-scTransform (N=2,000)	graphst	Integration	0.633715619730617	0.18216758966205754	GraphST
Seurat-scTransform (N=2,000)	graphst	CoreOverall	0.6353913816782939	0.09681196558355629	GraphST
Seurat-scTransform (N=2,000)	scvi	Alignment	0.8003396468637785	0.022993370346119122	scVI
Seurat-scTransform (N=2,000)	scvi	Clustering	0.5021978940324213	0.27161575523734677	scVI
Seurat-scTransform (N=2,000)	scvi	Integration	0.6872474701861371	0.10231243832739687	scVI
Seurat-scTransform (N=2,000)	scvi	CoreOverall	0.5947226821092793	0.12023008939599644	scVI
SpatialDE (N=2,000)	cellcharter	Alignment	0.9443686172047102	0.024626591139299207	CellCharter
SpatialDE (N=2,000)	cellcharter	Clustering	0.7126328162915607	0.053506288207628865	CellCharter
SpatialDE (N=2,000)	cellcharter	Integration	0.6093424813684232	0.1280292587383032	CellCharter
SpatialDE (N=2,000)	cellcharter	CoreOverall	0.6609876488299921	0.08945959056629321	CellCharter
SpatialDE (N=2,000)	graphst	Alignment	0.878261106423305	0.060316615226424904	GraphST
SpatialDE (N=2,000)	graphst	Clustering	0.7276478912923118	0.0671421329103906	GraphST
SpatialDE (N=2,000)	graphst	Integration	0.5547309024655634	0.15283357671000616	GraphST
SpatialDE (N=2,000)	graphst	CoreOverall	0.6411893968789376	0.08678466217000012	GraphST
SpatialDE (N=2,000)	scvi	Alignment	0.7932738157956878	0.03339240613588072	scVI
SpatialDE (N=2,000)	scvi	Clustering	0.5639138507384067	0.1037658826173303	scVI
SpatialDE (N=2,000)	scvi	Integration	0.6476291905099338	0.10742097575445894	scVI
SpatialDE (N=2,000)	scvi	CoreOverall	0.6057715206241703	0.07984948222175223	scVI
Statistic mean (N=2,000)	cellcharter	Alignment	0.9308131325001909	0.03008093770763111	CellCharter
Statistic mean (N=2,000)	cellcharter	Clustering	0.6645478233355832	0.09526948807379025	CellCharter
Statistic mean (N=2,000)	cellcharter	Integration	0.6208416186255541	0.10368410107373587	CellCharter
Statistic mean (N=2,000)	cellcharter	CoreOverall	0.6426947209805687	0.0911787971568041	CellCharter
Statistic mean (N=2,000)	graphst	Alignment	0.8372043256531365	0.07568318400151447	GraphST
Statistic mean (N=2,000)	graphst	Clustering	0.6782488090026588	0.08013796629304817	GraphST
