dataset	heldout_slice	method	heldout_topn_jaccard	heldout_moran_percentile	heldout_rank_spearman	heldout_silhouette	heldout_ari	heldout_nmi	heldout_CHAOS	heldout_PAS	Dataset	Fold	Method
MouseBrainSerialSections	section2	triku	0.3157894736842105	0.8092549361786996	0.3572443522136044	0.2707598209381103	0.7161504715245784	0.783677607199962	0.062346206882811	0.1020191285866099	Mouse Brain	Section 2	triku (N=2,000)
MouseBrainSerialSections	section2	wilcoxon	0.122334455667789	0.5228683187076186	0.0195049224780685	0.2339368313550949	0.6933972330512995	0.7652949308574414	0.0642785038810623	0.1044987601842012	Mouse Brain	Section 2	Wilcoxon (label-informed) (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	all_features	NA	NA	NA	0.2591040432453155	0.1798113438030908	0.2404719693404045	0.0631767694920772	0.0917587085811384	STOmics-0212	AD 4 LS	All features
STOmics0212	GSM5907080_AD_4_LS	morans_i	0.3986013986013986	0.8762678000648538	0.4193581965087988	0.2675285637378692	0.1913565297951608	0.2421433802816254	0.063432263779482	0.0968564146134239	STOmics-0212	AD 4 LS	Moran's I (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	nnsvg	0.3855213023900242	0.879120350210775	0.4224894885486208	0.2663736641407013	0.2021630283249838	0.2470690091029537	0.0633010272517251	0.1070518266779949	STOmics-0212	AD 4 LS	nnSVG (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	random	0.0582010582010582	0.5153509056376523	0.0172968853992839	0.2418197840452194	0.1049261822085874	0.1812058556501153	0.0637079512651672	0.0994052676295667	STOmics-0212	AD 4 LS	Random (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	scanpy_cell_ranger_batch	0.119194180190263	0.6617757678232269	0.1828656527880306	0.2294337153434753	0.1042712165302065	0.19213636258719	0.0637159598606109	0.0994052676295667	STOmics-0212	AD 4 LS	scanpy-CellRanger (batch) (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	scanpy_seurat_v3_batch	0.1682242990654205	0.6923841200722658	0.214701284325897	0.2417463511228561	0.1876381558429804	0.2421941773007798	0.0633720554755632	0.0900594732370433	STOmics-0212	AD 4 LS	scanpy-SeuratV3 (batch) (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	scsegindex	0.1689070718877849	0.7942743317737527	0.3211239134549185	0.2503591775894165	0.1223053830573404	0.1777982535671945	0.0635698533609965	0.0960067969413763	STOmics-0212	AD 4 LS	scSEGIndex (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	seurat_vst	0.2364760432766615	0.7232980265900774	0.2495672945403642	0.2443563938140869	0.1763894791882495	0.2270297916115785	0.0631908332778315	0.0798640611724723	STOmics-0212	AD 4 LS	Seurat-VST (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	singleCellHaystack	0.2554927809165097	0.8317034789456618	0.3645766280395456	0.3009247779846191	0.1125630883823596	0.1800361727493183	0.0638783112001228	0.1002548853016142	STOmics-0212	AD 4 LS	singleCellHaystack (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	somde	0.1976047904191616	0.7398165562607124	0.2676617582624208	0.2632396221160888	0.2132980039091615	0.2586371234894085	0.062903037847483	0.1045029736618521	STOmics-0212	AD 4 LS	SOMDE (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	sparkx	0.3071895424836601	0.8552939963867143	0.3961580631817412	0.2622761130332947	0.1443249575047762	0.1985453084859411	0.0630540740650144	0.0968564146134239	STOmics-0212	AD 4 LS	SPARK-X (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	spatialde	0.3831258644536653	0.8733043266780933	0.4157914224137126	0.267074704170227	0.1837042542196204	0.2366375323831348	0.0629744348990844	0.0977060322854715	STOmics-0212	AD 4 LS	SpatialDE (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	triku	0.2638230647709321	0.77350488720063	0.302942520602479	0.2500846683979034	0.2000070858931374	0.2582257174899406	0.0634353181427142	0.0841121495327102	STOmics-0212	AD 4 LS	triku (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	wilcoxon	0.1074197120708748	0.5654209014684763	0.0683281402467834	0.2363010346889495	0.1994486873516295	0.260328487943368	0.0636877832837394	0.1163976210705182	STOmics-0212	AD 4 LS	Wilcoxon (label-informed) (N=2,000)
STOmics0212	GSM5907093_HE_3	all_features	NA	NA	NA	0.1351694166660308	0.1972910559092218	0.275240106452456	0.0580255514024746	0.2114467408585055	STOmics-0212	HE 3	All features
STOmics0212	GSM5907093_HE_3	morans_i	0.2706480304955527	0.8100999907351647	0.3472035809344617	0.1453019082546234	0.2017229484644456	0.2478316420015497	0.0580938851202449	0.2686804451510334	STOmics-0212	HE 3	Moran's I (N=2,000)
STOmics0212	GSM5907093_HE_3	nnsvg	0.260239445494644	0.8033034696808264	0.3396638246853097	0.143553227186203	0.1822655752076541	0.2194087966967184	0.0587552111788841	0.2702702702702703	STOmics-0212	HE 3	nnSVG (N=2,000)
