fs_method	integration_method	MeanDatasetRank	MeanScore	NDatasets	GlobalRank	Scenario
nnsvg	scvi	12.285714285714286	0.5961716186132581	7	10.5	integration_weight_0.4
osca	cellcharter	11.428571428571429	0.6705336496673434	7	7.0	integration_weight_0.4
osca	scvi	11.428571428571429	0.6035010703398952	7	7.0	integration_weight_0.4
scPNMF	cellcharter	22.571428571428573	0.6507008857302564	7	28.0	integration_weight_0.4
scPNMF	scvi	17.857142857142858	0.5833769372797253	7	19.5	integration_weight_0.4
scanpy_cell_ranger	cellcharter	13.0	0.676549952747604	7	10.0	integration_weight_0.4
scanpy_cell_ranger	scvi	16.428571428571427	0.5930980167778053	7	18.0	integration_weight_0.4
scanpy_cell_ranger_batch	cellcharter	10.142857142857142	0.6838575719890081	7	6.0	integration_weight_0.4
scanpy_cell_ranger_batch	scvi	14.142857142857142	0.5962298629620032	7	16.0	integration_weight_0.4
scanpy_pearson	cellcharter	14.285714285714286	0.6744695436961449	7	12.5	integration_weight_0.4
scanpy_pearson	scvi	11.714285714285714	0.5929993142813103	7	8.0	integration_weight_0.4
scanpy_pearson_batch	cellcharter	14.571428571428571	0.6718049154308988	7	14.5	integration_weight_0.4
scanpy_pearson_batch	scvi	18.0	0.5716645323810008	7	21.0	integration_weight_0.4
scanpy_seurat	cellcharter	17.571428571428573	0.6659609358023718	7	20.0	integration_weight_0.4
scanpy_seurat	scvi	21.428571428571427	0.5939615821048264	7	27.0	integration_weight_0.4
scanpy_seurat_batch	cellcharter	17.142857142857142	0.6633547788123337	7	19.0	integration_weight_0.4
scanpy_seurat_batch	scvi	19.0	0.5906890215048516	7	23.0	integration_weight_0.4
scanpy_seurat_v3	cellcharter	6.428571428571429	0.6970631672756793	7	2.0	integration_weight_0.4
scanpy_seurat_v3	scvi	10.285714285714286	0.619625170221849	7	4.0	integration_weight_0.4
scanpy_seurat_v3_batch	cellcharter	5.857142857142857	0.6936744114953147	7	1.0	integration_weight_0.4
scanpy_seurat_v3_batch	scvi	14.857142857142858	0.601401785103634	7	17.0	integration_weight_0.4
scry	cellcharter	20.142857142857142	0.6486644142202608	7	24.5	integration_weight_0.4
scry	scvi	19.857142857142858	0.5624706547393966	7	24.0	integration_weight_0.4
seurat_disp	cellcharter	20.142857142857142	0.6594262709989895	7	24.5	integration_weight_0.4
seurat_disp	scvi	17.857142857142858	0.5801364416308811	7	19.5	integration_weight_0.4
seurat_mvp	cellcharter	13.142857142857142	0.670522306915382	7	11.0	integration_weight_0.4
seurat_mvp	scvi	21.285714285714285	0.5947739434133569	7	26.0	integration_weight_0.4
seurat_sct	cellcharter	19.857142857142858	0.6163270361580474	7	23.0	integration_weight_0.4
seurat_sct	scvi	13.285714285714286	0.5762163056181774	7	13.5	integration_weight_0.4
seurat_vst	cellcharter	7.142857142857143	0.6940876417997537	7	3.0	integration_weight_0.4
seurat_vst	scvi	9.714285714285714	0.6203480441235276	7	2.5	integration_weight_0.4
singleCellHaystack	cellcharter	12.714285714285714	0.6740733673223609	7	8.5	integration_weight_0.4
singleCellHaystack	scvi	12.714285714285714	0.5938152818424501	7	12.0	integration_weight_0.4
somde	cellcharter	14.571428571428571	0.6717534967424853	7	14.5	integration_weight_0.4
somde	scvi	9.714285714285714	0.6009456750781854	7	2.5	integration_weight_0.4
sparkx	cellcharter	21.714285714285715	0.6528782479620646	7	26.0	integration_weight_0.4
sparkx	scvi	18.285714285714285	0.5739169647758191	7	22.0	integration_weight_0.4
spatialde	cellcharter	14.285714285714286	0.6713054531264521	7	12.5	integration_weight_0.4
spatialde	scvi	10.714285714285714	0.5973948851117193	7	5.0	integration_weight_0.4
statistic_mean	cellcharter	23.428571428571427	0.6470552920923209	7	29.0	integration_weight_0.4
statistic_mean	scvi	23.428571428571427	0.5493122286360085	7	29.0	integration_weight_0.4
statistic_variance	cellcharter	22.285714285714285	0.6495818507649801	7	27.0	integration_weight_0.4
statistic_variance	scvi	20.0	0.5734281698941217	7	25.0	integration_weight_0.4
triku	cellcharter	9.857142857142858	0.6818424289871426	7	5.0	integration_weight_0.4
triku	scvi	5.571428571428571	0.6383836429263302	7	1.0	integration_weight_0.4
Brennecke	cellcharter	17.4	0.6818214748794134	5	19.0	labelled_datasets_only
Brennecke	scvi	19.8	0.6074354535128824	5	25.0	labelled_datasets_only
anticor	cellcharter	18.0	0.6870415275508962	5	21.0	labelled_datasets_only
anticor	scvi	13.4	0.6221055536749562	5	11.5	labelled_datasets_only
dubstepr	cellcharter	14.4	0.69265081318969	5	12.0	labelled_datasets_only
dubstepr	scvi	11.8	0.6245874436480291	5	7.0	labelled_datasets_only
hotspot	cellcharter	15.0	0.690730533358905	5	14.0	labelled_datasets_only
hotspot	scvi	13.2	0.6194021571774387	5	10.0	labelled_datasets_only
morans_i	cellcharter	12.8	0.6950460042399567	5	10.0	labelled_datasets_only
morans_i	scvi	17.4	0.610832513152323	5	20.5	labelled_datasets_only
nbumi	cellcharter	7.0	0.7106640853048996	5	3.5	labelled_datasets_only
nbumi	scvi	11.4	0.6508345159855655	5	5.0	labelled_datasets_only
nnsvg	cellcharter	14.2	0.6896270147619907	5	11.0	labelled_datasets_only
nnsvg	scvi	14.2	0.6259799110620695	5	15.0	labelled_datasets_only
osca	cellcharter	10.8	0.6952654402285718	5	7.0	labelled_datasets_only
osca	scvi	10.8	0.6377857407633114	5	4.0	labelled_datasets_only
scPNMF	cellcharter	24.0	0.6776897805851	5	29.0	labelled_datasets_only
scPNMF	scvi	17.4	0.613014902684759	5	20.5	labelled_datasets_only
scanpy_cell_ranger	cellcharter	16.4	0.6870345325259869	5	18.0	labelled_datasets_only
scanpy_cell_ranger	scvi	17.8	0.6384782309186178	5	22.5	labelled_datasets_only
scanpy_cell_ranger_batch	cellcharter	9.6	0.699195940643422	5	6.0	labelled_datasets_only
scanpy_cell_ranger_batch	scvi	13.6	0.6437937574835749	5	13.5	labelled_datasets_only
scanpy_pearson	cellcharter	20.2	0.682389909158527	5	25.0	labelled_datasets_only
scanpy_pearson	scvi	13.0	0.6204088706390539	5	9.0	labelled_datasets_only
scanpy_pearson_batch	cellcharter	19.4	0.6837794702929104	5	24.0	labelled_datasets_only
scanpy_pearson_batch	scvi	14.6	0.6060264302473981	5	17.0	labelled_datasets_only
scanpy_seurat	cellcharter	17.8	0.6846375242320415	5	20.0	labelled_datasets_only
scanpy_seurat	scvi	18.4	0.6489483191263448	5	24.0	labelled_datasets_only
scanpy_seurat_batch	cellcharter	18.4	0.6829613668583469	5	22.0	labelled_datasets_only
scanpy_seurat_batch	scvi	13.6	0.6428394867540628	5	13.5	labelled_datasets_only
scanpy_seurat_v3	cellcharter	6.8	0.71080283641289	5	2.0	labelled_datasets_only
scanpy_seurat_v3	scvi	14.4	0.6540732832812263	5	16.0	labelled_datasets_only
scanpy_seurat_v3_batch	cellcharter	7.0	0.7096753564562764	5	3.5	labelled_datasets_only
scanpy_seurat_v3_batch	scvi	11.6	0.6412279807885823	5	6.0	labelled_datasets_only
scry	cellcharter	16.0	0.6845638981100444	5	16.5	labelled_datasets_only
scry	scvi	22.2	0.5857631317096157	5	27.0	labelled_datasets_only
seurat_disp	cellcharter	23.0	0.6764072865824468	5	28.0	labelled_datasets_only
seurat_disp	scvi	14.8	0.6212709596927557	5	18.0	labelled_datasets_only
