MethodRaw	Type	MeanRank	SDRank	Method
scanpy-Seurat (batch) (N=2,000)	Overall	17.857142857142858	7.819389819088006	scanpy-Seurat (batch) (N=2,000)
scanpy-Seurat (batch) (N=2,000)	Integration	7.428571428571429	2.5071326821120348	scanpy-Seurat (batch) (N=2,000)
scanpy-Seurat (batch) (N=2,000)	Clustering	21.857142857142858	7.5813053279887415	scanpy-Seurat (batch) (N=2,000)
scanpy-Seurat (batch) (N=2,000)	Alignment	16.5	6.363961030678928	scanpy-Seurat (batch) (N=2,000)
scanpy-SeuratV3 (N=2,000)	Overall	11.714285714285714	7.994045402971008	scanpy-SeuratV3 (N=2,000)
scanpy-SeuratV3 (N=2,000)	Integration	21.571428571428573	8.772250620700536	scanpy-SeuratV3 (N=2,000)
scanpy-SeuratV3 (N=2,000)	Clustering	9.857142857142858	8.454359258760565	scanpy-SeuratV3 (N=2,000)
scanpy-SeuratV3 (N=2,000)	Alignment	5.5	0.7071067811865476	scanpy-SeuratV3 (N=2,000)
scanpy-SeuratV3 (batch) (N=2,000)	Overall	14.428571428571429	6.078847008469694	scanpy-SeuratV3 (batch) (N=2,000)
scanpy-SeuratV3 (batch) (N=2,000)	Integration	15.142857142857142	7.925245977856069	scanpy-SeuratV3 (batch) (N=2,000)
scanpy-SeuratV3 (batch) (N=2,000)	Clustering	14.857142857142858	7.819389819088006	scanpy-SeuratV3 (batch) (N=2,000)
scanpy-SeuratV3 (batch) (N=2,000)	Alignment	15.5	0.7071067811865476	scanpy-SeuratV3 (batch) (N=2,000)
scry (N=2,000)	Overall	21.428571428571427	7.25389878748302	scry (N=2,000)
scry (N=2,000)	Integration	21.428571428571427	10.390013520317524	scry (N=2,000)
scry (N=2,000)	Clustering	19.142857142857142	8.071112509614592	scry (N=2,000)
scry (N=2,000)	Alignment	28	2.8284271247461903	scry (N=2,000)
singleCellHaystack (N=2,000)	Overall	14.142857142857142	10.82325538564332	singleCellHaystack (N=2,000)
singleCellHaystack (N=2,000)	Integration	17.571428571428573	9.271050693011064	singleCellHaystack (N=2,000)
singleCellHaystack (N=2,000)	Clustering	12.571428571428571	8.521681032463468	singleCellHaystack (N=2,000)
singleCellHaystack (N=2,000)	Alignment	8	9.899494936611665	singleCellHaystack (N=2,000)
triku (N=2,000)	Overall	7.285714285714286	4.423960733486292	triku (N=2,000)
triku (N=2,000)	Integration	15.714285714285714	10.827654189070467	triku (N=2,000)
triku (N=2,000)	Clustering	7.428571428571429	5.287001130355558	triku (N=2,000)
triku (N=2,000)	Alignment	3	0	triku (N=2,000)
