dataset	fs_method	n_features	MethodGroup	Dataset	Method	Task	Difference
E8p5Embryo	seurat_disp	2000	expression_driven	E8.5 Embryo	Seurat Dispersion	Integration	-0.2189070509440798
E8p5Embryo	seurat_disp	2000	expression_driven	E8.5 Embryo	Seurat Dispersion	Clustering	0.3311628900903098
E8p5Embryo	seurat_mvp	2000	expression_driven	E8.5 Embryo	Seurat MVP	Core overall	0.05857091048659002
E8p5Embryo	seurat_mvp	2000	expression_driven	E8.5 Embryo	Seurat MVP	Integration	-0.2375279711392546
E8p5Embryo	seurat_mvp	2000	expression_driven	E8.5 Embryo	Seurat MVP	Clustering	0.3546697921124346
E8p5Embryo	seurat_sct	2000	expression_driven	E8.5 Embryo	Seurat sctransform	Core overall	0.029586723482645072
E8p5Embryo	seurat_sct	2000	expression_driven	E8.5 Embryo	Seurat sctransform	Integration	-0.038876326840071807
E8p5Embryo	seurat_sct	2000	expression_driven	E8.5 Embryo	Seurat sctransform	Clustering	0.0980497738053621
E8p5Embryo	seurat_vst	2000	expression_driven	E8.5 Embryo	Seurat VST	Core overall	0.029926944186346227
E8p5Embryo	seurat_vst	2000	expression_driven	E8.5 Embryo	Seurat VST	Integration	-0.2823914003784434
E8p5Embryo	seurat_vst	2000	expression_driven	E8.5 Embryo	Seurat VST	Clustering	0.34224528875113597
E8p5Embryo	singleCellHaystack	2000	expression_driven	E8.5 Embryo	singleCellHaystack	Core overall	-0.0030973886401505224
E8p5Embryo	singleCellHaystack	2000	expression_driven	E8.5 Embryo	singleCellHaystack	Integration	-0.29135733159057225
E8p5Embryo	singleCellHaystack	2000	expression_driven	E8.5 Embryo	singleCellHaystack	Clustering	0.2851625543102715
E8p5Embryo	somde	2000	spatially_informed	E8.5 Embryo	SOMDE	Core overall	0.003470018955008203
E8p5Embryo	somde	2000	spatially_informed	E8.5 Embryo	SOMDE	Integration	-0.23957085670339218
E8p5Embryo	somde	2000	spatially_informed	E8.5 Embryo	SOMDE	Clustering	0.24651089461340875
E8p5Embryo	sparkx	2000	spatially_informed	E8.5 Embryo	SPARK-X	Core overall	-0.017382854250789115
E8p5Embryo	sparkx	2000	spatially_informed	E8.5 Embryo	SPARK-X	Integration	-0.24122423342796356
E8p5Embryo	sparkx	2000	spatially_informed	E8.5 Embryo	SPARK-X	Clustering	0.20645852492638567
E8p5Embryo	spatialde	2000	spatially_informed	E8.5 Embryo	SpatialDE	Core overall	-0.008990801489146438
E8p5Embryo	spatialde	2000	spatially_informed	E8.5 Embryo	SpatialDE	Integration	-0.23259633739580365
E8p5Embryo	spatialde	2000	spatially_informed	E8.5 Embryo	SpatialDE	Clustering	0.21461473441751078
E8p5Embryo	statistic_mean	2000	expression_driven	E8.5 Embryo	Mean expression	Core overall	0.003402457695809269
E8p5Embryo	statistic_mean	2000	expression_driven	E8.5 Embryo	Mean expression	Integration	-0.2548935864210158
E8p5Embryo	statistic_mean	2000	expression_driven	E8.5 Embryo	Mean expression	Clustering	0.2616985018126343
E8p5Embryo	statistic_variance	2000	expression_driven	E8.5 Embryo	Expression variance	Core overall	-0.016356056729682655
E8p5Embryo	statistic_variance	2000	expression_driven	E8.5 Embryo	Expression variance	Integration	-0.2614231016117148
E8p5Embryo	statistic_variance	2000	expression_driven	E8.5 Embryo	Expression variance	Clustering	0.22871098815234953
E8p5Embryo	triku	2000	expression_driven	E8.5 Embryo	triku	Core overall	0.024377512179824645
E8p5Embryo	triku	2000	expression_driven	E8.5 Embryo	triku	Integration	-0.25312550961692887
E8p5Embryo	triku	2000	expression_driven	E8.5 Embryo	triku	Clustering	0.3018805339765781
E9p5Embryo	Brennecke	2000	expression_driven	E9.5 Embryo	Brennecke	Core overall	0.04079929648986136
E9p5Embryo	Brennecke	2000	expression_driven	E9.5 Embryo	Brennecke	Integration	-0.25963114089400796
