Dataset	Type	SelFeatures	Value	SD	StandardValue
E9.5 Embryo	Integration	2000	0.6342795306377641	0.5025304229809321	-0.02213172951379727
E9.5 Embryo	Integration	5000	0.6137547757640271	0.5539552879135051	-0.5647177258195465
E9.5 Embryo	Integration	10000	0.6023440301410011	0.6550927339422867	-0.809229206231926
E9.5 Embryo	Clustering	100	0.4301225894847913	1.1666016625921107	-0.5901784192993119
E9.5 Embryo	Clustering	200	0.43501628713792767	0.9495355457836322	-0.3261770951672001
E9.5 Embryo	Clustering	500	0.45535751921038936	0.7328121696478345	-0.027633378760578538
E9.5 Embryo	Clustering	1000	0.47469828916295675	0.5998438516798069	0.27469140213114446
E9.5 Embryo	Clustering	2000	0.4814937699636245	0.5761050580345134	0.23007102410598596
E9.5 Embryo	Clustering	5000	0.4972994432426847	0.8115096931203671	0.3537584848203987
E9.5 Embryo	Clustering	10000	0.48688699339088054	1.1074946243696737	0.08546798216956107
E9.5 Embryo	Overall	100	0.5184009813200448	1.2985603532885674	-0.5109131946906713
E9.5 Embryo	Overall	200	0.532927718402713	0.848838406204748	-0.08401000890855907
E9.5 Embryo	Overall	500	0.5481011353061699	0.6481014955973019	0.17306387476602988
E9.5 Embryo	Overall	1000	0.5560198841696933	0.5398253534357513	0.3811096027327729
E9.5 Embryo	Overall	2000	0.5578866503006943	0.5724527882891814	0.31218554723898123
E9.5 Embryo	Overall	5000	0.5555271095033559	0.8900789291470107	0.08824641153343034
E9.5 Embryo	Overall	10000	0.5446155117659408	1.0850302548789728	-0.35968223267198496
Mouse Brain	Integration	100	0.7209625780219072	1.0964817086342704	0.09740245145600715
Mouse Brain	Integration	200	0.7181589253805968	0.8294303875085594	0.17243949747226328
Mouse Brain	Integration	500	0.7107812138362863	0.6326714335626044	0.38090124384767304
Mouse Brain	Integration	1000	0.6780503775685102	0.6245226996624832	0.39281944817806075
Mouse Brain	Integration	2000	0.6257203968028462	0.7127143621204771	-0.019977719738983688
Mouse Brain	Integration	5000	0.5642226617943868	1.0538767460882428	-0.2102135270824294
Mouse Brain	Integration	10000	0.5371123910684844	0.8619801430664022	-0.8133713941325905
Mouse Brain	Clustering	100	0.729565622398695	1.0703018244211648	-0.5685846118862673
Mouse Brain	Clustering	200	0.766870980987846	0.7776199890650255	0.11705979490131767
Mouse Brain	Clustering	500	0.7816376830911242	0.512885368730312	0.40664818688200743
Mouse Brain	Clustering	1000	0.7625494236785847	0.8297015585617024	0.4163529992247987
Mouse Brain	Clustering	2000	0.723690437762437	0.8028677804308842	-0.015585947253320544
Mouse Brain	Clustering	5000	0.7114470464756262	1.0189807936443736	0.024374296315132243
Mouse Brain	Clustering	10000	0.7097722979636657	0.9407982743627811	-0.3802647181836674
Mouse Brain	Alignment	100	0.9158824688125031	1.0344076424600914	-0.3394985933353673
Mouse Brain	Alignment	200	0.92932471502004	0.7726738346167328	0.009699337402422377
Mouse Brain	Alignment	500	0.9306325274901669	0.5296047478368408	0.28457405374490163
Mouse Brain	Alignment	1000	0.9116144368217106	0.37940005505470803	0.4177972135779912
Mouse Brain	Alignment	2000	0.8622742189932443	0.8913467634209065	0.6769747101302205
Mouse Brain	Alignment	5000	0.770831985882089	0.9132612456666097	-0.2980798850747175
Mouse Brain	Alignment	10000	0.7484506537641662	0.9362245255266368	-0.7514668364454485
Mouse Brain	Overall	100	0.7252641002103012	1.1725116913351068	-0.39292470509427657
Mouse Brain	Overall	200	0.7425149531842213	0.8160528786349828	0.1256586159320831
Mouse Brain	Overall	500	0.7462094484637053	0.5433890769192476	0.3878278577666946
Mouse Brain	Overall	1000	0.7202999006235474	0.6360590125926558	0.45604067847399865
Mouse Brain	Overall	2000	0.6747054172826416	0.6893665565737787	0.04384497023429542
Mouse Brain	Overall	5000	0.6378348541350065	1.1354525052946327	-0.02544338857568941
Mouse Brain	Overall	10000	0.623442344516075	0.8363752847321301	-0.5950040287371048
STOmics-0212	Integration	100	0.5060165453715639	0.8779251454212766	0.38653286533917397
STOmics-0212	Integration	200	0.5009096827736302	0.8386179636903679	0.2691808400646792
STOmics-0212	Integration	500	0.4888794151078393	0.7909694863486004	-0.1392720762389623
STOmics-0212	Integration	1000	0.48603309192592753	0.6463167643994466	-0.09990692624017056
STOmics-0212	Integration	2000	0.49051414629525186	0.6536302049563484	0.1693648463659554
STOmics-0212	Integration	5000	0.4766140637256646	1.0134942904942128	-0.03067606634579941
STOmics-0212	Integration	10000	0.4523761502629353	1.2385438173625178	-0.5552234829448761
STOmics-0212	Clustering	100	0.6432896987502887	1.1750622194408473	-0.10834092990583212
