Method	IntegrationMethod	Type	MeanRank	SDRank	Integration
Statistic mean (N=2,000)	cellcharter	Clustering	21.714285714285715	6.047431568147635	CellCharter
Statistic mean (N=2,000)	cellcharter	Integration	14.571428571428571	8.772250620700536	CellCharter
Statistic mean (N=2,000)	cellcharter	CoreOverall	23.428571428571427	4.07664661444276	CellCharter
Statistic mean (N=2,000)	graphst	Alignment	26.142857142857142	3.236694374850748	GraphST
Statistic mean (N=2,000)	graphst	Clustering	24	5.972157622389639	GraphST
Statistic mean (N=2,000)	graphst	Integration	23.571428571428573	6.425396041156863	GraphST
Statistic mean (N=2,000)	graphst	CoreOverall	27	3.6514837167011076	GraphST
Statistic mean (N=2,000)	scvi	Alignment	26.142857142857142	1.4638501094227998	scVI
Statistic mean (N=2,000)	scvi	Clustering	22.285714285714285	5.056820005836531	scVI
Statistic mean (N=2,000)	scvi	Integration	17.428571428571427	10.70602856427385	scVI
Statistic mean (N=2,000)	scvi	CoreOverall	24.428571428571427	3.909694909544003	scVI
Statistic variance (N=2,000)	cellcharter	Alignment	22.714285714285715	9.068522219088138	CellCharter
Statistic variance (N=2,000)	cellcharter	Clustering	21.142857142857142	6.12178000880385	CellCharter
Statistic variance (N=2,000)	cellcharter	Integration	13	7.571877794400365	CellCharter
Statistic variance (N=2,000)	cellcharter	CoreOverall	21.285714285714285	6.156684327197709	CellCharter
Statistic variance (N=2,000)	graphst	Alignment	25	5.32290647422377	GraphST
Statistic variance (N=2,000)	graphst	Clustering	21	6.377042156569663	GraphST
Statistic variance (N=2,000)	graphst	Integration	23.285714285714285	5.219012860502955	GraphST
Statistic variance (N=2,000)	graphst	CoreOverall	26	5.32290647422377	GraphST
Statistic variance (N=2,000)	scvi	Alignment	25.857142857142858	6.12178000880385	scVI
Statistic variance (N=2,000)	scvi	Clustering	18.142857142857142	6.362090102803518	scVI
Statistic variance (N=2,000)	scvi	Integration	18.142857142857142	8.029706749078105	scVI
Statistic variance (N=2,000)	scvi	CoreOverall	20.428571428571427	5.968169536721256	scVI
nnSVG (N=2,000)	cellcharter	Alignment	7.857142857142857	2.2677868380553634	CellCharter
nnSVG (N=2,000)	cellcharter	Clustering	19.857142857142858	6.148944934663492	CellCharter
nnSVG (N=2,000)	cellcharter	Integration	12.857142857142858	5.398412465054624	CellCharter
nnSVG (N=2,000)	cellcharter	CoreOverall	17	5.656854249492381	CellCharter
nnSVG (N=2,000)	graphst	Alignment	8	2.23606797749979	GraphST
nnSVG (N=2,000)	graphst	Clustering	15.571428571428571	5.1269595556932455	GraphST
nnSVG (N=2,000)	graphst	Integration	17.714285714285715	7.565586245499766	GraphST
nnSVG (N=2,000)	graphst	CoreOverall	16.857142857142858	8.008923594519874	GraphST
nnSVG (N=2,000)	scvi	Alignment	9.428571428571429	4.157609203101499	scVI
nnSVG (N=2,000)	scvi	Clustering	13.285714285714286	6.317021600783229	scVI
nnSVG (N=2,000)	scvi	Integration	17.285714285714285	6.395683067879607	scVI
nnSVG (N=2,000)	scvi	CoreOverall	12.285714285714286	7.20449595077698	scVI
scPNMF (N=2,000)	cellcharter	Alignment	12.571428571428571	6.1605503773916945	CellCharter
scPNMF (N=2,000)	cellcharter	Clustering	18.571428571428573	3.25868802112869	CellCharter
scPNMF (N=2,000)	cellcharter	Integration	20.571428571428573	5.968169536721256	CellCharter
scPNMF (N=2,000)	cellcharter	CoreOverall	24	2.581988897471611	CellCharter
scPNMF (N=2,000)	graphst	Alignment	13.428571428571429	7.699721701835352	GraphST
scPNMF (N=2,000)	graphst	Clustering	11.428571428571429	8.100558475750152	GraphST
scPNMF (N=2,000)	graphst	Integration	23	2.943920288775949	GraphST
scPNMF (N=2,000)	graphst	CoreOverall	18.142857142857142	6.309478885734052	GraphST
scPNMF (N=2,000)	scvi	Alignment	13.285714285714286	7.521398046336104	scVI
scPNMF (N=2,000)	scvi	Clustering	17.714285714285715	4.15187851918806	scVI
scPNMF (N=2,000)	scvi	Integration	16.285714285714285	6.77530529974568	scVI
scPNMF (N=2,000)	scvi	CoreOverall	17.428571428571427	5.711308748355986	scVI
scanpy-CellRanger (N=2,000)	cellcharter	Alignment	15	8.54400374531753	CellCharter
scanpy-CellRanger (N=2,000)	cellcharter	Clustering	14.428571428571429	11.688415102957613	CellCharter
