dataset	fs_method	n_features	integration_method	Dataset	Integrator	Comparison	Seed0	OtherSeed
E9p5Embryo	scry	2000	cellcharter	E9.5 Embryo	CellCharter	Seed 0 vs 1	0.5506323672253091	0.538911166828979
E9p5Embryo	scry	2000	scvi	E9.5 Embryo	scVI	Seed 0 vs 1	0.5317341411093421	0.5449586918250937
E9p5Embryo	scsegindex	500	cellcharter	E9.5 Embryo	CellCharter	Seed 0 vs 1	0.592700715623423	0.5915824731836138
E9p5Embryo	scsegindex	500	scvi	E9.5 Embryo	scVI	Seed 0 vs 1	0.5105437325642308	0.5101189093332623
E9p5Embryo	seurat_disp	2000	cellcharter	E9.5 Embryo	CellCharter	Seed 0 vs 1	0.5812367719638893	0.6031975659675235
E9p5Embryo	seurat_disp	2000	scvi	E9.5 Embryo	scVI	Seed 0 vs 1	0.5282618695346442	0.5188905462728467
E9p5Embryo	seurat_mvp	2000	cellcharter	E9.5 Embryo	CellCharter	Seed 0 vs 1	0.5750000107017756	0.621103401796298
E9p5Embryo	seurat_mvp	2000	scvi	E9.5 Embryo	scVI	Seed 0 vs 1	0.5296393297573206	0.5340592299539884
E9p5Embryo	seurat_sct	2000	cellcharter	E9.5 Embryo	CellCharter	Seed 0 vs 1	0.474038318347048	0.4143910516400397
E9p5Embryo	seurat_sct	2000	scvi	E9.5 Embryo	scVI	Seed 0 vs 1	0.43774215542581096	0.43766429045896293
E9p5Embryo	seurat_vst	2000	cellcharter	E9.5 Embryo	CellCharter	Seed 0 vs 1	0.617145552133286	0.6225027081159168
E9p5Embryo	seurat_vst	2000	scvi	E9.5 Embryo	scVI	Seed 0 vs 1	0.5493537310592903	0.5501039710184995
E9p5Embryo	singleCellHaystack	2000	cellcharter	E9.5 Embryo	CellCharter	Seed 0 vs 1	0.5729668263440111	0.5686135178274154
E9p5Embryo	singleCellHaystack	2000	scvi	E9.5 Embryo	scVI	Seed 0 vs 1	0.5469519097991173	0.5297660610301275
E9p5Embryo	somde	2000	cellcharter	E9.5 Embryo	CellCharter	Seed 0 vs 1	0.5913710345751577	0.5683029702380924
E9p5Embryo	somde	2000	scvi	E9.5 Embryo	scVI	Seed 0 vs 1	0.5538567662620778	0.5632157700877946
E9p5Embryo	sparkx	2000	cellcharter	E9.5 Embryo	CellCharter	Seed 0 vs 1	0.567369838518083	0.5694909139556268
E9p5Embryo	sparkx	2000	scvi	E9.5 Embryo	scVI	Seed 0 vs 1	0.555472661150239	0.5345144275158322
E9p5Embryo	spatialde	2000	cellcharter	E9.5 Embryo	CellCharter	Seed 0 vs 1	0.5788584651549028	0.5892127192991476
E9p5Embryo	spatialde	2000	scvi	E9.5 Embryo	scVI	Seed 0 vs 1	0.5555295497708997	0.5559833265429832
E9p5Embryo	statistic_mean	2000	cellcharter	E9.5 Embryo	CellCharter	Seed 0 vs 1	0.5542067978128999	0.5585239035658633
E9p5Embryo	statistic_mean	2000	scvi	E9.5 Embryo	scVI	Seed 0 vs 1	0.5409280565125222	0.5297551076944802
E9p5Embryo	statistic_variance	2000	cellcharter	E9.5 Embryo	CellCharter	Seed 0 vs 1	0.5671277314617453	0.5497770268091882
E9p5Embryo	statistic_variance	2000	scvi	E9.5 Embryo	scVI	Seed 0 vs 1	0.5380194526854588	0.5447094090244149
E9p5Embryo	triku	2000	cellcharter	E9.5 Embryo	CellCharter	Seed 0 vs 1	0.587143520624377	0.6108958538313918
E9p5Embryo	triku	2000	scvi	E9.5 Embryo	scVI	Seed 0 vs 1	0.549023601288006	0.5277902252480684
MouseBrainSerialSections	Brennecke	2000	cellcharter	Mouse Brain	CellCharter	Seed 0 vs 1	0.7703344367265865	0.766540884535383
MouseBrainSerialSections	Brennecke	2000	scvi	Mouse Brain	scVI	Seed 0 vs 1	0.4585662429067162	0.5315317975171479
MouseBrainSerialSections	TFs	2000	cellcharter	Mouse Brain	CellCharter	Seed 0 vs 1	0.7481273789532716	0.7616317989181156
MouseBrainSerialSections	TFs	2000	scvi	Mouse Brain	scVI	Seed 0 vs 1	0.4981579774802987	0.47663505879312784
MouseBrainSerialSections	all_features	all	cellcharter	Mouse Brain	CellCharter	Seed 0 vs 1	0.7361835292789635	0.7251120170761055
MouseBrainSerialSections	all_features	all	scvi	Mouse Brain	scVI	Seed 0 vs 1	0.4243713307894684	0.4706079466702462
MouseBrainSerialSections	anticor	2000	cellcharter	Mouse Brain	CellCharter	Seed 0 vs 1	0.7517188626757034	0.7504698483546858
MouseBrainSerialSections	anticor	2000	scvi	Mouse Brain	scVI	Seed 0 vs 1	0.5361178263907274	0.4691358632262024
MouseBrainSerialSections	dubstepr	2000	cellcharter	Mouse Brain	CellCharter	Seed 0 vs 1	0.761841336344808	0.761174239884492
MouseBrainSerialSections	dubstepr	2000	scvi	Mouse Brain	scVI	Seed 0 vs 1	0.43860513630271675	0.5671466888857271
MouseBrainSerialSections	hotspot	2000	cellcharter	Mouse Brain	CellCharter	Seed 0 vs 1	0.7507626230404707	0.7577641221649106
