fs_method	integration_method	MethodGroup	MeanIntegrationScore	SDIntegrationScore	MeanIntegrationRank	SDIntegrationRank	NIntegrationDatasets	MeanClusteringScore	SDClusteringScore	MeanClusteringRank	SDClusteringRank	NClusteringDatasets	MeanAlignmentScore	SDAlignmentScore	MeanAlignmentRank	SDAlignmentRank	NAlignmentDatasets	MeanCoreOverallScore	SDCoreOverallScore	MeanCoreOverallRank	SDCoreOverallRank	NCoreOverallDatasets	MeanAlignmentEligibleOverallScore	SDAlignmentEligibleOverallScore	MeanAlignmentEligibleOverallRank	SDAlignmentEligibleOverallRank	NAlignmentEligibleOverallDatasets	GlobalCoreOverallRank
scanpy_seurat_v3	scvi	expression_driven	0.6666287795981675	0.1044238306934738	21.571428571428573	8.772250620700536	7	0.5882894306376366	0.13388700706006018	9.714285714285714	8.380817098475257	7	0.874023205694002	0.07531555376597994	5.5	0.7071067811865476	2	0.627459105117902	0.0792864459443813	11.714285714285714	7.994045402971009	7	0.7545609748962196	0.04296497112087921	8.0	2.8284271247461903	2	6.0
nbumi	scvi	expression_driven	0.6633521736806687	0.10789481713576615	20.0	11.604596790352806	7	0.581101383749771	0.13543827564185748	10.571428571428571	5.1269595556932455	7	0.8584821002226882	0.04966547468669544	6.0	4.242640687119285	2	0.6222267787152198	0.07988218079662242	11.857142857142858	7.603257447273754	7	0.7427954799272174	0.0008214466760051363	5.5	3.5355339059327378	2	7.0
dubstepr	scvi	expression_driven	0.6590142210294669	0.13260623575674504	16.571428571428573	8.541216596737316	7	0.5506052822740365	0.15288197832867714	12.571428571428571	8.48247493084306	7	0.7705986447021913	0.06162881021927188	16.0	8.48528137423857	2	0.6048097516517517	0.08083654222980449	12.0	8.34665601703261	7	0.6649770078013844	0.09475324564110937	14.0	8.48528137423857	2	8.0
scanpy_pearson	scvi	expression_driven	0.6473297810067491	0.14724251089105914	19.142857142857142	7.668736780560656	7	0.5567790031310177	0.13107899369264647	13.285714285714286	5.618845839799182	7	0.6743833534255972	0.14132671379604397	22.5	9.192388155425117	2	0.6020543920688832	0.08115187642189439	12.142857142857142	5.367450401216932	7	0.6121368330982153	0.12106075366248675	22.0	7.0710678118654755	2	9.0
nnsvg	scvi	spatially_informed	0.6561464313602597	0.09427681309671132	19.571428571428573	6.502746672423454	7	0.556188410115257	0.13755622125366151	13.571428571428571	6.6296591882525115	7	0.7784453798803472	0.006042861071645358	18.0	1.4142135623730951	2	0.6061674207377583	0.07103950676558075	12.857142857142858	7.625146368618582	7	0.6685383809801859	0.021089676625279604	17.0	2.8284271247461903	2	10.0
scanpy_cell_ranger_batch	scvi	expression_driven	0.7298676946004695	0.06518544322861934	7.142857142857143	6.841748592978539	7	0.5071379752030257	0.20237789072318232	19.0	9.273618495495704	7	0.8450980156153609	0.16928420084692536	15.0	19.79898987322333	2	0.6185028349017477	0.10372943225785994	13.142857142857142	11.838194843085542	7	0.7327303699953737	0.16099949609089637	16.0	19.79898987322333	2	11.0
spatialde	scvi	spatially_informed	0.6476164366716881	0.10741513702088881	19.714285714285715	7.782764841072135	7	0.5639138507384068	0.10376588261733027	12.0	8.717797887081348	7	0.7932738157956878	0.03339240613588072	14.0	8.48528137423857	2	0.6057651437050474	0.07985407986487733	13.285714285714286	7.064330251677218	7	0.6679463103754018	0.09165551685164398	12.5	7.7781745930520225	2	12.0
singleCellHaystack	scvi	expression_driven	0.6249196605166486	0.17993090067386577	17.571428571428573	9.271050693011064	7	0.5730790293929845	0.166446864221505	12.428571428571429	8.67673407946298	7	0.8275768521832136	0.0021448240742251135	8.5	9.192388155425117	2	0.5989993449548165	0.11410803743400988	14.0	11.0	7	0.7306534129830884	0.02022678549872398	6.0	5.656854249492381	2	13.0
scanpy_seurat_v3_batch	scvi	expression_driven	0.6736551560786699	0.10755206503784477	15.142857142857142	7.92524597785607	7	0.5532328711202766	0.14642280318183723	14.714285714285714	7.91021039994693	7	0.7971979811495753	0.031197757471072896	15.5	0.7071067811865476	2	0.6134440135994732	0.07574404289573682	14.285714285714286	6.29058253037257	7	0.7010766714354848	0.025997719282238044	12.5	0.7071067811865476	2	14.5
seurat_sct	scvi	expression_driven	0.6872439229968113	0.10230861315211436	12.428571428571429	5.912053869204927	7	0.5021978940324214	0.27161575523734677	15.142857142857142	11.810003830490084	7	0.8003396468637785	0.022993370346119084	15.5	2.1213203435596424	2	0.5947209085146163	0.1202327689176304	14.285714285714286	13.400426432447162	7	0.7042164084908907	0.028067809769209032	11.5	0.7071067811865476	2	14.5
anticor	scvi	expression_driven	0.6459820915870821	0.11451595919255418	22.428571428571427	2.149196970742239	7	0.5560951969617465	0.13335342214929274	11.0	8.386497083606082	7	0.7022408151471518	0.1367012194052575	19.0	11.313708498984761	2	0.6010386442744143	0.08803971099785783	14.428571428571429	8.978811035936085	7	0.6224015257435584	0.12095829908621539	20.0	8.48528137423857	2	16.0
hotspot	scvi	expression_driven	0.6431785659339676	0.13668642523642632	21.571428571428573	8.038597366397177	7	0.55558157448001	0.1362722755604561	10.857142857142858	10.007140307942981	7	0.7468988685422481	0.09730856759644858	16.5	10.606601717798213	2	0.5993800702069888	0.10731103210577278	14.857142857142858	11.334733807028309	7	0.623292812656497	0.1619410450236215	17.5	17.67766952966369	2	17.0
morans_i	scvi	spatially_informed	0.6386259556307127	0.11516790966136281	21.142857142857142	8.687703406320365	7	0.5522948641252857	0.12481942419320821	13.571428571428571	9.880235200593539	7	0.6460457401332611	0.1578446799981771	26.0	8.48528137423857	2	0.5954604098779992	0.08096882280797499	15.0	9.201449161228174	7	0.587559743139881	0.11070034669640984	26.0	4.242640687119285	2	18.5
scanpy_cell_ranger	scvi	expression_driven	0.726376075832583	0.08753364524895596	7.857142857142857	6.792853387410709	7	0.5042459774079535	0.20610519946279748	19.714285714285715	10.562737740350679	7	0.8495027650188253	0.1614128511206344	14.5	17.67766952966369	2	0.6153110266202682	0.10767285258282701	15.0	11.150485789118488	7	0.7388322079103031	0.16133139563966722	15.0	19.79898987322333	2	18.5
scPNMF	scvi	expression_driven	0.6501664344495622	0.14426340015605563	18.428571428571427	7.091242083423346	7	0.5388506058331675	0.1443874976693854	18.571428571428573	3.952094080237415	7	0.6455586889625424	0.15252821102195896	26.5	6.363961030678928	2	0.5945085201413649	0.07644676621886122	17.857142857142858	5.756983337031396	7	0.5932979327229511	0.10625782724589454	25.0	4.242640687119285	2	21.0
scanpy_pearson_batch	scvi	expression_driven	0.6559386134293017	0.14818778137350896	16.571428571428573	5.711308748355986	7	0.5154818116821336	0.1531496878326787	19.428571428571427	7.207800007795787	7	0.7317981086997043	0.04435188131911924	21.0	2.8284271247461903	2	0.5857102125557176	0.09464153563775408	17.857142857142858	8.173709305420875	7	0.6211062722984271	0.10908518272877014	20.5	6.363961030678928	2	21.0
scanpy_seurat_batch	scvi	expression_driven	0.7100608729477454	0.10324514665705328	7.428571428571429	2.5071326821120348	7	0.5111077872095892	0.19472842479881713	21.857142857142858	7.581305327988741	7	0.8164138327721424	0.08624887145718582	16.5	6.363961030678928	2	0.6105843300786672	0.07651677019582151	17.857142857142858	7.819389819088005	7	0.7073955900120081	0.03938849517850663	14.5	7.7781745930520225	2	21.0
