dataset	heldout_slice	method	n_features	seed	evaluation_role	metric	value	runtime_seconds	Metric	Method
MouseBrainSerialSections	section2	scanpy_seurat_v3_batch	2000	0	heldout_clustering	heldout_ari	0.723838667410308	0.6060272511094809	ARI	scanpy-SeuratV3 (batch) (N=2,000)
MouseBrainSerialSections	section2	scanpy_seurat_v3_batch	2000	0	heldout_clustering	heldout_nmi	0.7889525507896834	0.6060272511094809	NMI	scanpy-SeuratV3 (batch) (N=2,000)
MouseBrainSerialSections	section2	scsegindex	2000	0	heldout_clustering	heldout_ari	0.5089449200203777	415.96066134795547	ARI	scSEGIndex (N=2,000)
MouseBrainSerialSections	section2	scsegindex	2000	0	heldout_clustering	heldout_nmi	0.6465107102339807	415.96066134795547	NMI	scSEGIndex (N=2,000)
MouseBrainSerialSections	section2	seurat_vst	2000	0	heldout_clustering	heldout_ari	0.723838667410308	20.244772379286587	ARI	Seurat-VST (N=2,000)
MouseBrainSerialSections	section2	seurat_vst	2000	0	heldout_clustering	heldout_nmi	0.7889525507896834	20.244772379286587	NMI	Seurat-VST (N=2,000)
MouseBrainSerialSections	section2	singleCellHaystack	2000	0	heldout_clustering	heldout_ari	0.645615247840499	49.14608493261039	ARI	singleCellHaystack (N=2,000)
MouseBrainSerialSections	section2	singleCellHaystack	2000	0	heldout_clustering	heldout_nmi	0.7457907298608255	49.14608493261039	NMI	singleCellHaystack (N=2,000)
MouseBrainSerialSections	section2	somde	2000	0	heldout_clustering	heldout_ari	0.704464950904976	270.9901908878237	ARI	SOMDE (N=2,000)
MouseBrainSerialSections	section2	somde	2000	0	heldout_clustering	heldout_nmi	0.8028983317344415	270.9901908878237	NMI	SOMDE (N=2,000)
MouseBrainSerialSections	section2	sparkx	2000	0	heldout_clustering	heldout_ari	0.6962435188940957	66.81009337399155	ARI	SPARK-X (N=2,000)
MouseBrainSerialSections	section2	sparkx	2000	0	heldout_clustering	heldout_nmi	0.8048263484362844	66.81009337399155	NMI	SPARK-X (N=2,000)
MouseBrainSerialSections	section2	spatialde	2000	0	heldout_clustering	heldout_ari	0.7007140074464339	273.2938136830926	ARI	SpatialDE (N=2,000)
MouseBrainSerialSections	section2	spatialde	2000	0	heldout_clustering	heldout_nmi	0.8067141957462148	273.2938136830926	NMI	SpatialDE (N=2,000)
MouseBrainSerialSections	section2	triku	2000	0	heldout_clustering	heldout_ari	0.7161504715245784	43.95227229222655	ARI	triku (N=2,000)
MouseBrainSerialSections	section2	triku	2000	0	heldout_clustering	heldout_nmi	0.783677607199962	43.95227229222655	NMI	triku (N=2,000)
MouseBrainSerialSections	section2	wilcoxon	2000	0	heldout_clustering	heldout_ari	0.6933972330512995	35.18799910042435	ARI	Wilcoxon (label-informed) (N=2,000)
MouseBrainSerialSections	section2	wilcoxon	2000	0	heldout_clustering	heldout_nmi	0.7652949308574414	35.18799910042435	NMI	Wilcoxon (label-informed) (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	all_features	2000	0	heldout_clustering	heldout_ari	0.1798113438030908	0.0020099272951483	ARI	All features
STOmics0212	GSM5907080_AD_4_LS	all_features	2000	0	heldout_clustering	heldout_nmi	0.2404719693404045	0.0020099272951483	NMI	All features
