dataset	fs_method	n_features	integration_method	BatchMixingMean	BatchMixingSD	BatchMixingNSeeds	BiologicalConservationMean	BiologicalConservationSD	BiologicalConservationNSeeds	IntegrationMean	IntegrationSD	IntegrationNSeeds	LabelIndependentClusteringMean	LabelIndependentClusteringSD	LabelIndependentClusteringNSeeds	LabelAgreementMean	LabelAgreementSD	LabelAgreementNSeeds	ClusteringMean	ClusteringSD	ClusteringNSeeds	AlignmentMean	AlignmentSD	AlignmentNSeeds	CoreOverallMean	CoreOverallSD	CoreOverallNSeeds	AlignmentEligibleOverallMean	AlignmentEligibleOverallSD	AlignmentEligibleOverallNSeeds	MethodGroup	NFeatures	Dataset	Integrator	Method
DLPFC	dubstepr	5000	scvi	0.8083164994559824	NA	1	0.7344513077761624	NA	1	0.7713839036160723	NA	1	0.5064769226477521	NA	1	0.6991200524603893	NA	1	0.6027984875540707	NA	1	0.8184298396814251	NA	1	0.6870911955850716	NA	1	0.7308707436171895	NA	1	expression_driven	5000	DLPFC	scVI	DUBStepR
DLPFC	hotspot	100	cellcharter	0.6279621388530826	NA	1	0.8469948616318193	NA	1	0.7374785002424509	NA	1	0.6808308520368045	NA	1	0.6200346309349607	NA	1	0.6504327414858826	NA	1	0.8471186942707205	NA	1	0.6939556208641667	NA	1	0.7450099786663514	NA	1	expression_driven	100	DLPFC	CellCharter	Hotspot
DLPFC	hotspot	100	scvi	0.8919777804826359	NA	1	0.6505992844473927	NA	1	0.7712885324650143	NA	1	0.4204182606423597	NA	1	0.5915584084857981	NA	1	0.5059883345640789	NA	1	0.7598303979254957	NA	1	0.6386384335145465	NA	1	0.6790357549848629	NA	1	expression_driven	100	DLPFC	scVI	Hotspot
DLPFC	hotspot	1000	cellcharter	0.5542244612203909	NA	1	0.9160994703640302	NA	1	0.7351619657922106	NA	1	0.7216025964802354	NA	1	0.6788463364046453	NA	1	0.7002244664424404	NA	1	0.9250903260048652	NA	1	0.7176932161173255	NA	1	0.7868255860798388	NA	1	expression_driven	1000	DLPFC	CellCharter	Hotspot
DLPFC	hotspot	1000	scvi	0.7766308918016307	NA	1	0.7149248194850899	NA	1	0.7457778556433603	NA	1	0.5122169560667365	NA	1	0.6763465180035669	NA	1	0.5942817370351516	NA	1	0.8049634279340393	NA	1	0.670029796339256	NA	1	0.7150076735375172	NA	1	expression_driven	1000	DLPFC	scVI	Hotspot
DLPFC	hotspot	10000	cellcharter	0.5308817368492194	NA	1	0.9461980127267172	NA	1	0.7385398747879683	NA	1	0.694034113745885	NA	1	0.5252751965044915	NA	1	0.6096546551251882	NA	1	0.8954401589898895	NA	1	0.6740972649565783	NA	1	0.7478782296343486	NA	1	expression_driven	10000	DLPFC	CellCharter	Hotspot
DLPFC	hotspot	10000	scvi	0.45623572551645664	NA	1	0.3645326515586544	NA	1	0.41038418853755554	NA	1	0.4529840427186021	NA	1	0.4045638244194505	NA	1	0.42877393356902627	NA	1	0.5792035887043858	NA	1	0.4195790610532909	NA	1	0.4727872369369892	NA	1	expression_driven	10000	DLPFC	scVI	Hotspot
DLPFC	hotspot	200	cellcharter	0.60024949830683	NA	1	0.8855900511253496	NA	1	0.7429197747160898	NA	1	0.7068817303017078	NA	1	0.7262993893323664	NA	1	0.716590559817037	NA	1	0.8969576662296992	NA	1	0.7297551672665634	NA	1	0.7854893335876086	NA	1	expression_driven	200	DLPFC	CellCharter	Hotspot
DLPFC	hotspot	200	scvi	0.8185136944897982	NA	1	0.6939646104809414	NA	1	0.7562391524853698	NA	1	0.5014217651516472	NA	1	0.6558419123917045	NA	1	0.5786318387716758	NA	1	0.7662289737664558	NA	1	0.6674354956285228	NA	1	0.7003666550078339	NA	1	expression_driven	200	DLPFC	scVI	Hotspot
DLPFC	hotspot	2000	cellcharter	0.5412582743306723	0.00430140376503161	3	0.9255143520029544	0.04417705817898314	3	0.7333863131668134	0.02084912087422701	3	0.7263796062481965	0.00408616387356042	3	0.6857936671180017	0.09677445587553236	3	0.7060866366830991	0.04686337577261118	3	0.9274054422436844	0.00373761690078995	3	0.7197364749249563	0.02738010429937702	3	0.788959464031199	0.01921288605078998	3	expression_driven	2000	DLPFC	CellCharter	Hotspot
DLPFC	hotspot	2000	scvi	0.7897886676170446	0.02529868963279548	3	0.7497895507475962	0.02193654146513175	3	0.7697891091823204	0.00529669503990386	3	0.5134706464352076	0.01398646544816705	3	0.7423528445564743	0.03306564264066205	3	0.6279117454958408	0.02111694154990194	3	0.8157064165572464	0.01282609309504514	3	0.6988504273390808	0.0129465240109499	3	0.7378024237451358	0.01101575773952919	3	expression_driven	2000	DLPFC	scVI	Hotspot
DLPFC	hotspot	500	cellcharter	0.5704512864826713	NA	1	0.9094754867469248	NA	1	0.7399633866147981	NA	1	0.6947974928148152	NA	1	0.5843248734887035	NA	1	0.6395611831517594	NA	1	0.9136750615291434	NA	1	0.6897622848832787	NA	1	0.7643998770985668	NA	1	expression_driven	500	DLPFC	CellCharter	Hotspot
DLPFC	hotspot	500	scvi	0.8109146667302957	NA	1	0.7031182179830497	NA	1	0.7570164423566728	NA	1	0.4783704303425478	NA	1	0.6483716296764895	NA	1	0.5633710300095187	NA	1	0.7780113959276477	NA	1	0.6601937361830957	NA	1	0.6994662894312796	NA	1	expression_driven	500	DLPFC	scVI	Hotspot
DLPFC	hotspot	5000	cellcharter	0.525026371733057	NA	1	0.8995407937128537	NA	1	0.7122835827229553	NA	1	0.7106360786540323	NA	1	0.6418561131425713	NA	1	0.6762460958983019	NA	1	0.9141977484734524	NA	1	0.6942648393106285	NA	1	0.7675758090315697	NA	1	expression_driven	5000	DLPFC	CellCharter	Hotspot
DLPFC	hotspot	5000	scvi	0.6603379409884962	NA	1	0.7337190834563947	NA	1	0.6970285122224454	NA	1	0.480965862858093	NA	1	0.7536288523283272	NA	1	0.6172973575932101	NA	1	0.7752603271397923	NA	1	0.6571629349078278	NA	1	0.6965287323184827	NA	1	expression_driven	5000	DLPFC	scVI	Hotspot
DLPFC	morans_i	100	cellcharter	0.6417616395447494	NA	1	0.9049210018541672	NA	1	0.7733413206994583	NA	1	0.6764932142042467	NA	1	0.7312351917558308	NA	1	0.7038642029800388	NA	1	0.9383202915782104	NA	1	0.7386027618397486	NA	1	0.8051752717525691	NA	1	spatially_informed	100	DLPFC	CellCharter	Moran's I
DLPFC	morans_i	100	scvi	0.9124913318694992	NA	1	0.6977842765618327	NA	1	0.8051378042156659	NA	1	0.4327267447481716	NA	1	0.5035446241823589	NA	1	0.4681356844652652	NA	1	0.785898750249498	NA	1	0.6366367443404656	NA	1	0.686390746310143	NA	1	spatially_informed	100	DLPFC	scVI	Moran's I
DLPFC	morans_i	1000	cellcharter	0.5529282995063969	NA	1	0.9582750948914752	NA	1	0.755601697198936	NA	1	0.7007893857143076	NA	1	0.759344519901057	NA	1	0.7300669528076823	NA	1	0.9306915766474834	NA	1	0.7428343250033091	NA	1	0.8054534088847006	NA	1	spatially_informed	1000	DLPFC	CellCharter	Moran's I
DLPFC	morans_i	1000	scvi	0.8047570964251355	NA	1	0.7506197925387135	NA	1	0.7776884444819245	NA	1	0.5004319977309611	NA	1	0.6655983636758547	NA	1	0.5830151807034079	NA	1	0.8282087149946207	NA	1	0.6803518125926662	NA	1	0.729637446726651	NA	1	spatially_informed	1000	DLPFC	scVI	Moran's I
DLPFC	morans_i	10000	cellcharter	0.5132712794701964	NA	1	0.9222232539261488	NA	1	0.7177472666981726	NA	1	0.7310227757460256	NA	1	0.6080152558380969	NA	1	0.6695190157920612	NA	1	0.8847582554815531	NA	1	0.6936331412451169	NA	1	0.7573415126572622	NA	1	spatially_informed	10000	DLPFC	CellCharter	Moran's I
DLPFC	morans_i	10000	scvi	0.4554063372324174	NA	1	0.3662273710339197	NA	1	0.4108168541331686	NA	1	0.44812121318283465	NA	1	0.404534690100099	NA	1	0.42632795164146686	NA	1	0.5685003398672974	NA	1	0.4185724028873178	NA	1	0.4685483818806443	NA	1	spatially_informed	10000	DLPFC	scVI	Moran's I
DLPFC	morans_i	200	cellcharter	0.6036658706790226	NA	1	0.9287621755943096	NA	1	0.7662140231366661	NA	1	0.6655055080504266	NA	1	0.6683361764305651	NA	1	0.6669208422404959	NA	1	0.9307264059005084	NA	1	0.7165674326885809	NA	1	0.7879537570925569	NA	1	spatially_informed	200	DLPFC	CellCharter	Moran's I
DLPFC	morans_i	200	scvi	0.8993651292154574	NA	1	0.7089484901569778	NA	1	0.8041568096862176	NA	1	0.4824003023900956	NA	1	0.5461981727109733	NA	1	0.5142992375505344	NA	1	0.7944816960344605	NA	1	0.6592280236183761	NA	1	0.7043125810904042	NA	1	spatially_informed	200	DLPFC	scVI	Moran's I
DLPFC	morans_i	2000	cellcharter	0.5459196402667331	0.00415331568532605	3	0.9744285784086872	0.00484338460181494	3	0.7601741093377101	0.00440554399957659	3	0.698563637265868	0.01844589835051208	3	0.7285136362404397	0.08652604807738752	3	0.7135386367531537	0.05211184665368525	3	0.9193199181987696	0.00385866387677077	3	0.736856373045432	0.02781149313036945	3	0.7976775547632111	0.01964732319293031	3	spatially_informed	2000	DLPFC	CellCharter	Moran's I
DLPFC	morans_i	2000	scvi	0.698759013827436	0.16038260611812422	3	0.6502586101598645	0.1653863105950298	3	0.6745088119936503	0.1628823486133435	3	0.48581028785245167	0.02397480112790521	3	0.6448747745035474	0.20484201838700664	3	0.5653425311779995	0.11438241139414146	3	0.7576587837341928	0.10382952731459476	3	0.6199256715858249	0.13863093468570728	3	0.6658367089686142	0.1270287443994633	3	spatially_informed	2000	DLPFC	scVI	Moran's I
DLPFC	morans_i	500	cellcharter	0.5698121175317763	NA	1	0.9595099914645266	NA	1	0.7646610544981515	NA	1	0.6833094153537878	NA	1	0.7445443980303363	NA	1	0.713926906692062	NA	1	0.9341478016354908	NA	1	0.7392939805951068	NA	1	0.8042452542752349	NA	1	spatially_informed	500	DLPFC	CellCharter	Moran's I
DLPFC	morans_i	500	scvi	0.8752721112490587	NA	1	0.7329765930569863	NA	1	0.8041243521530225	NA	1	0.5107479846756376	NA	1	0.7085567397886492	NA	1	0.6096523622321435	NA	1	0.8217879821388929	NA	1	0.706888357192583	NA	1	0.7451882321746863	NA	1	spatially_informed	500	DLPFC	scVI	Moran's I
DLPFC	morans_i	5000	cellcharter	0.5254650701295608	NA	1	0.9674750737298684	NA	1	0.7464700719297146	NA	1	0.7040457530303228	NA	1	0.5864254108891762	NA	1	0.6452355819597495	NA	1	0.898365230910289	NA	1	0.695852826944732	NA	1	0.7633569615999177	NA	1	spatially_informed	5000	DLPFC	CellCharter	Moran's I
DLPFC	morans_i	5000	scvi	0.6085217291243654	NA	1	0.6686922361452116	NA	1	0.6386069826347884	NA	1	0.457554249972528	NA	1	0.6251749146323831	NA	1	0.5413645823024555	NA	1	0.7719395038607739	NA	1	0.589985782468622	NA	1	0.6506370229326727	NA	1	spatially_informed	5000	DLPFC	scVI	Moran's I
DLPFC	nbumi	100	cellcharter	0.6441150695918484	NA	1	0.8631216145167085	NA	1	0.7536183420542785	NA	1	0.6576854708892529	NA	1	0.55678787778576	NA	1	0.6072366743375064	NA	1	0.8992592870634211	NA	1	0.6804275081958924	NA	1	0.7533714344850685	NA	1	expression_driven	100	DLPFC	CellCharter	NBumi
