fs_method	Context	Label	MarkerOverlap	MarkerOverlapSD	NSeeds
scanpy_seurat_v3_batch	Epithelial	Merkel Cell	0.69	NA	1
scanpy_seurat_v3_batch	Epithelial	Progenitor Cell	0.28	NA	1
scanpy_seurat_v3_batch	Epithelial	Stem Cell	0.53	NA	1
scanpy_seurat_v3_batch	Full	Keratinocyte	0.71	NA	1
scanpy_seurat_v3_batch	Full	Langerhans Cell	0.27	NA	1
scanpy_seurat_v3_batch	Full	Merkel Cell	0.73	NA	1
scanpy_seurat_v3_batch	Full	Progenitor Cell	0.26	NA	1
scanpy_seurat_v3_batch	Full	Stem Cell	0.53	NA	1
scanpy_seurat_v3_batch	Full	T Cell	0.46	NA	1
scanpy_seurat_v3_batch	Immune	Langerhans Cell	0.39	NA	1
scanpy_seurat_v3_batch	Immune	T Cell	0.29	NA	1
scry	Epithelial	Keratinocyte	1	NA	1
scry	Epithelial	Merkel Cell	0.84	NA	1
scry	Epithelial	Progenitor Cell	0.9	NA	1
scry	Epithelial	Stem Cell	1	NA	1
scry	Full	Keratinocyte	1	NA	1
scry	Full	Langerhans Cell	1	NA	1
scry	Full	Merkel Cell	0.81	NA	1
scry	Full	Progenitor Cell	0.94	NA	1
scry	Full	Stem Cell	1	NA	1
scry	Full	T Cell	0.73	NA	1
scry	Immune	Langerhans Cell	1	NA	1
scry	Immune	T Cell	0.66	NA	1
scsegindex	Epithelial	Keratinocyte	0	NA	1
scsegindex	Epithelial	Merkel Cell	0	NA	1
scsegindex	Epithelial	Progenitor Cell	0	NA	1
scsegindex	Epithelial	Stem Cell	0	NA	1
scsegindex	Full	Keratinocyte	0	NA	1
scsegindex	Full	Langerhans Cell	0	NA	1
scsegindex	Full	Merkel Cell	0	NA	1
scsegindex	Full	Progenitor Cell	0	NA	1
scsegindex	Full	Stem Cell	0	NA	1
scsegindex	Full	T Cell	0.02	NA	1
scsegindex	Immune	Langerhans Cell	0.77	NA	1
scsegindex	Immune	T Cell	0.16	NA	1
seurat_disp	Epithelial	Keratinocyte	0.29	NA	1
seurat_disp	Epithelial	Merkel Cell	0.67	NA	1
seurat_disp	Epithelial	Progenitor Cell	0.95	NA	1
seurat_disp	Epithelial	Stem Cell	0.35	NA	1
seurat_disp	Full	Keratinocyte	0.28	NA	1
seurat_disp	Full	Langerhans Cell	0.96	NA	1
seurat_disp	Full	Merkel Cell	0.65	NA	1
seurat_disp	Full	Progenitor Cell	0.98	NA	1
seurat_disp	Full	Stem Cell	0.34	NA	1
seurat_disp	Full	T Cell	0.11	NA	1
seurat_disp	Immune	Langerhans Cell	0.86	NA	1
seurat_disp	Immune	T Cell	0.25	NA	1
seurat_mvp	Epithelial	Keratinocyte	0.07	NA	1
seurat_mvp	Epithelial	Merkel Cell	0.59	NA	1
seurat_mvp	Epithelial	Progenitor Cell	0.74	NA	1
seurat_mvp	Epithelial	Stem Cell	0.19	NA	1
seurat_mvp	Full	Keratinocyte	0.07	NA	1
seurat_mvp	Full	Langerhans Cell	0.34	NA	1
seurat_mvp	Full	Merkel Cell	0.46	NA	1
seurat_mvp	Full	Progenitor Cell	0.47	NA	1
seurat_mvp	Full	Stem Cell	0.17	NA	1
seurat_mvp	Full	T Cell	0.05	NA	1
seurat_mvp	Immune	Langerhans Cell	0.26	NA	1
seurat_mvp	Immune	T Cell	0.21	NA	1
seurat_sct	Epithelial	Keratinocyte	0.6033333333333333	NA	3
seurat_sct	Epithelial	Merkel Cell	0.9333333333333333	NA	3
seurat_sct	Epithelial	Progenitor Cell	0.9466666666666667	NA	3
seurat_sct	Epithelial	Stem Cell	0.6466666666666667	NA	3
seurat_sct	Full	Keratinocyte	0.66	NA	3
seurat_sct	Full	Langerhans Cell	0.9366666666666666	NA	3
seurat_sct	Full	Merkel Cell	0.9366666666666666	NA	3
seurat_sct	Full	Progenitor Cell	0.95	NA	3
seurat_sct	Full	Stem Cell	0.66	NA	3
seurat_sct	Full	T Cell	0.5466666666666667	NA	3
seurat_sct	Immune	Langerhans Cell	0.93	NA	3
seurat_sct	Immune	T Cell	0.44	NA	3
seurat_vst	Epithelial	Keratinocyte	0.58	NA	1
seurat_vst	Epithelial	Merkel Cell	0.71	NA	1
seurat_vst	Epithelial	Progenitor Cell	0.25	NA	1
seurat_vst	Epithelial	Stem Cell	0.57	NA	1
seurat_vst	Full	Keratinocyte	0.81	NA	1
seurat_vst	Full	Langerhans Cell	0.16	NA	1
seurat_vst	Full	Merkel Cell	0.72	NA	1
seurat_vst	Full	Progenitor Cell	0.13	NA	1
seurat_vst	Full	Stem Cell	0.65	NA	1
seurat_vst	Full	T Cell	0.58	NA	1
seurat_vst	Immune	Langerhans Cell	0.05	NA	1
seurat_vst	Immune	T Cell	0.81	NA	1
singleCellHaystack	Epithelial	Keratinocyte	0.87	NA	3
singleCellHaystack	Epithelial	Merkel Cell	0.41	NA	3
singleCellHaystack	Epithelial	Progenitor Cell	0.12	NA	3
singleCellHaystack	Epithelial	Stem Cell	0.8	NA	3
singleCellHaystack	Full	Keratinocyte	0.5766666666666667	NA	3
singleCellHaystack	Full	Langerhans Cell	0.03666666666666667	NA	3
singleCellHaystack	Full	Merkel Cell	0.36	NA	3
singleCellHaystack	Full	Progenitor Cell	0.013333333333333334	NA	3
singleCellHaystack	Full	Stem Cell	0.41	NA	3
singleCellHaystack	Full	T Cell	0.5233333333333333	NA	3
singleCellHaystack	Immune	Langerhans Cell	0.16	NA	3
singleCellHaystack	Immune	T Cell	0.04	NA	3
somde	Epithelial	Keratinocyte	0.6	NA	1
somde	Epithelial	Merkel Cell	0.34	NA	1
somde	Epithelial	Progenitor Cell	0.37	NA	1
somde	Epithelial	Stem Cell	0.44	NA	1
somde	Full	Keratinocyte	0.79	NA	1
somde	Full	Langerhans Cell	0.81	NA	1
somde	Full	Merkel Cell	0.75	NA	1
somde	Full	Progenitor Cell	0.74	NA	1
somde	Full	Stem Cell	0.61	NA	1
somde	Full	T Cell	0.54	NA	1
somde	Immune	Langerhans Cell	0.53	NA	1
somde	Immune	T Cell	0.27	NA	1
sparkx	Epithelial	Keratinocyte	0.96	NA	1
sparkx	Epithelial	Merkel Cell	0.12	NA	1
sparkx	Epithelial	Progenitor Cell	0.27	NA	1
sparkx	Epithelial	Stem Cell	0.8	NA	1
sparkx	Full	Keratinocyte	0.95	NA	1
sparkx	Full	Langerhans Cell	0.28	NA	1
sparkx	Full	Merkel Cell	0.13	NA	1
sparkx	Full	Progenitor Cell	0.22	NA	1
sparkx	Full	Stem Cell	0.81	NA	1
sparkx	Full	T Cell	0.8	NA	1
sparkx	Immune	Langerhans Cell	0.74	NA	1
