dataset	heldout_slice	method	n_features	seed	evaluation_role	metric	value	runtime_seconds	Metric	Method
STOmics0212	GSM5907080_AD_4_LS	spatialde	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.3831258644536653	2160.090603022836	Top-N Jaccard	SpatialDE (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	spatialde	2000	0	spatial_reproducibility	heldout_moran_percentile	0.8733043266780933	2160.090603022836	Moran percentile	SpatialDE (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	triku	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.2638230647709321	65.11575154680759	Top-N Jaccard	triku (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	triku	2000	0	spatial_reproducibility	heldout_moran_percentile	0.77350488720063	65.11575154680759	Moran percentile	triku (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	wilcoxon	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.1074197120708748	54.76505677867681	Top-N Jaccard	Wilcoxon (label-informed) (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	wilcoxon	2000	0	spatial_reproducibility	heldout_moran_percentile	0.5654209014684763	54.76505677867681	Moran percentile	Wilcoxon (label-informed) (N=2,000)
STOmics0212	GSM5907093_HE_3	all_features	2000	0	spatial_reproducibility	heldout_topn_jaccard	NA	0.0018045790493488	Top-N Jaccard	All features
STOmics0212	GSM5907093_HE_3	all_features	2000	0	spatial_reproducibility	heldout_moran_percentile	NA	0.0018045790493488	Moran percentile	All features
STOmics0212	GSM5907093_HE_3	morans_i	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.2706480304955527	1.975658935494721	Top-N Jaccard	Moran's I (N=2,000)
STOmics0212	GSM5907093_HE_3	morans_i	2000	0	spatial_reproducibility	heldout_moran_percentile	0.8100999907351647	1.975658935494721	Moran percentile	Moran's I (N=2,000)
STOmics0212	GSM5907093_HE_3	nnsvg	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.260239445494644	11368.83927425556	Top-N Jaccard	nnSVG (N=2,000)
STOmics0212	GSM5907093_HE_3	nnsvg	2000	0	spatial_reproducibility	heldout_moran_percentile	0.8033034696808264	11368.83927425556	Moran percentile	nnSVG (N=2,000)
STOmics0212	GSM5907093_HE_3	random	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.0520778537611783	0.0013945130631327	Top-N Jaccard	Random (N=2,000)
STOmics0212	GSM5907093_HE_3	random	2000	0	spatial_reproducibility	heldout_moran_percentile	0.5093799277342845	0.0013945130631327	Moran percentile	Random (N=2,000)
STOmics0212	GSM5907093_HE_3	scanpy_cell_ranger_batch	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.1123470522803114	1.4025378059595823	Top-N Jaccard	scanpy-CellRanger (batch) (N=2,000)
STOmics0212	GSM5907093_HE_3	scanpy_cell_ranger_batch	2000	0	spatial_reproducibility	heldout_moran_percentile	0.6549950433131052	1.4025378059595823	Moran percentile	scanpy-CellRanger (batch) (N=2,000)
STOmics0212	GSM5907093_HE_3	scanpy_seurat_v3_batch	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.1232799775344004	0.7860076129436493	Top-N Jaccard	scanpy-SeuratV3 (batch) (N=2,000)
STOmics0212	GSM5907093_HE_3	scanpy_seurat_v3_batch	2000	0	spatial_reproducibility	heldout_moran_percentile	0.6619392226803168	0.7860076129436493	Moran percentile	scanpy-SeuratV3 (batch) (N=2,000)
STOmics0212	GSM5907093_HE_3	scsegindex	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.1120378092855157	215.71891674026847	Top-N Jaccard	scSEGIndex (N=2,000)
STOmics0212	GSM5907093_HE_3	scsegindex	2000	0	spatial_reproducibility	heldout_moran_percentile	0.7050380321489785	215.71891674026847	Moran percentile	scSEGIndex (N=2,000)
STOmics0212	GSM5907093_HE_3	seurat_vst	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.136040897472309	18.268975565209985	Top-N Jaccard	Seurat-VST (N=2,000)
STOmics0212	GSM5907093_HE_3	seurat_vst	2000	0	spatial_reproducibility	heldout_moran_percentile	0.6439414925649696	18.268975565209985	Moran percentile	Seurat-VST (N=2,000)
STOmics0212	GSM5907093_HE_3	singleCellHaystack	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.154068090017311	66.93111700285226	Top-N Jaccard	singleCellHaystack (N=2,000)
