Method	Type	Mean	SD	Integration
scanpy-Seurat (N=2,000)	Alignment	0.07574429379220754	0.0881557137718109	CellCharter
scanpy-Seurat (N=2,000)	Clustering	0.181824067266361	0.14309810771862924	CellCharter
scanpy-Seurat (N=2,000)	Integration	-0.09272440799544976	0.09330333815860126	CellCharter
scanpy-Seurat (N=2,000)	CoreOverall	0.04454982963545558	0.03567219522491293	CellCharter
scanpy-Seurat (N=2,000)	Alignment	-0.0038615128677922383	0.03679194708322109	GraphST
scanpy-Seurat (N=2,000)	Clustering	0.19100645372243158	0.15272430589100475	GraphST
scanpy-Seurat (N=2,000)	Integration	-0.15720768100936483	0.1479311244848933	GraphST
scanpy-Seurat (N=2,000)	CoreOverall	0.01689938635653335	0.04799900126437357	GraphST
scanpy-Seurat (batch) (N=2,000)	Alignment	0.10533456562487054	0.024841841021747458	CellCharter
scanpy-Seurat (batch) (N=2,000)	Clustering	0.17194632418544503	0.12633229719917977	CellCharter
scanpy-Seurat (batch) (N=2,000)	Integration	-0.07624154499011009	0.1144009541265172	CellCharter
scanpy-Seurat (batch) (N=2,000)	CoreOverall	0.0478523895976675	0.028099810745828752	CellCharter
scanpy-Seurat (batch) (N=2,000)	Alignment	0.020328133185991193	0.042631080394282164	GraphST
scanpy-Seurat (batch) (N=2,000)	Clustering	0.18182589786283299	0.14440764222876068	GraphST
scanpy-Seurat (batch) (N=2,000)	Integration	-0.12479104559110356	0.15673127965352723	GraphST
scanpy-Seurat (batch) (N=2,000)	CoreOverall	0.028517426135864752	0.05292094372326493	GraphST
scanpy-SeuratV3 (N=2,000)	Alignment	0.07664465781333712	0.07089619817204275	CellCharter
scanpy-SeuratV3 (N=2,000)	Clustering	0.17322988948167153	0.11797790100023682	CellCharter
scanpy-SeuratV3 (N=2,000)	Integration	-0.0662360917089618	0.12150010981813436	CellCharter
scanpy-SeuratV3 (N=2,000)	CoreOverall	0.05349689888635483	0.028969226175407703	CellCharter
scanpy-SeuratV3 (N=2,000)	Alignment	0.031333460454324835	0.04411702063721057	GraphST
scanpy-SeuratV3 (N=2,000)	Clustering	0.15856247999558673	0.12561943240150414	GraphST
scanpy-SeuratV3 (N=2,000)	Integration	-0.09037174039041745	0.10879126282250941	GraphST
scanpy-SeuratV3 (N=2,000)	CoreOverall	0.03409536980258465	0.03533320107991871	GraphST
scanpy-SeuratV3 (batch) (N=2,000)	Alignment	0.149409642680838	0.014481636832689675	CellCharter
scanpy-SeuratV3 (batch) (N=2,000)	Clustering	0.19704710488199056	0.1279003293199995	CellCharter
scanpy-SeuratV3 (batch) (N=2,000)	Integration	-0.06487468015004584	0.1483670412458905	CellCharter
scanpy-SeuratV3 (batch) (N=2,000)	CoreOverall	0.06608621236597238	0.046841036780868546	CellCharter
scanpy-SeuratV3 (batch) (N=2,000)	Alignment	0.07023718470611678	0.04100811967627424	GraphST
scanpy-SeuratV3 (batch) (N=2,000)	Clustering	0.1798840205005279	0.1425456896079126	GraphST
scanpy-SeuratV3 (batch) (N=2,000)	Integration	-0.07447757157086557	0.13889803718521956	GraphST
scanpy-SeuratV3 (batch) (N=2,000)	CoreOverall	0.052703224464831125	0.06120522352493004	GraphST
scry (N=2,000)	Alignment	0.2810027232818963	0.16432229172685434	CellCharter
scry (N=2,000)	Clustering	0.1504174130921879	0.11338890181192306	CellCharter
scry (N=2,000)	Integration	-0.01012449072107904	0.19695936694260177	CellCharter
